# Time-averaged data for fix FEPout005
# TimeStep v_param v_param005 v_pe c_FEP005[1] c_FEP005[2] c_FEP005[3]
28000000 0.2 0 -6140.26 -0.164388 21717.9 16484.1
28001000 0.2 0 -6140 -0.265857 26001.6 16646.7
28002000 0.2 0 -6064.8 -0.174789 22650.1 16894.2
28003000 0.2 0 -6105.61 0.0200907 16039.1 16588.9
28004000 0.2 0 -6025.35 -0.0192851 17525.7 16967.8
28005000 0.2 0 -6065.22 0.135452 13270.7 16655.9
28006000 0.2 0 -6132.69 0.0814449 14540.6 16669.1
28007000 0.2 0 -6054.86 -0.490865 38179.9 16759
28008000 0.2 0 -6102.01 -0.169491 22019.1 16570.2
28009000 0.2 0 -6089.14 -0.0578215 18284.3 16594.2
28010000 0.2 0 -6071.7 -0.01557 17221.1 16777.1
28011000 0.2 0 -6125.55 0.0896335 14398 16733.9
28012000 0.2 0 -6053.92 -0.400181 32864.5 16795.8
28013000 0.2 0 -6062.51 -0.252668 25540.7 16717.4
28014000 0.2 0 -6059.2 -0.0324738 17513.9 16585.4
28015000 0.2 0 -6093.05 -0.228684 24628.4 16782
28016000 0.2 0 -6061.37 0.305229 9971.61 16638.7
28017000 0.2 0 -6072.18 0.0940653 14228.3 16660.1
28018000 0.2 0 -6141.99 -0.260575 25852.5 16698.5
28019000 0.2 0 -6166.33 0.0363187 15654.9 16638.2
28020000 0.2 0 -6022.36 -0.0247892 17204.1 16503.4
28021000 0.2 0 -6117.26 0.0506022 15212.6 16560.2
28022000 0.2 0 -6111.27 0.542916 6729.89 16730.7
28023000 0.2 0 -6143.79 -0.183276 23097 16984.1
28024000 0.2 0 -6084.15 0.410535 8510.09 16943.5
28025000 0.2 0 -6072.13 0.0954711 14328.8 16817.4
28026000 0.2 0 -6103.13 -0.0369127 17710.7 16647.4
28027000 0.2 0 -6131.48 -0.854604 68469.5 16328
28028000 0.2 0 -6049.3 -0.0465498 17758.8 16424.9
28029000 0.2 0 -6091.64 -0.0736429 18995.6 16788.2
28030000 0.2 0 -6003.47 -0.361524 30177.1 16455.6
28031000 0.2 0 -6029.22 -0.306591 28035.8 16763.6
28032000 0.2 0 -6114.28 0.357202 8995.2 16376.7
28033000 0.2 0 -6139.11 -0.0613179 18270.4 16484.7
28034000 0.2 0 -6096.21 0.367775 8917.05 16524.9
28035000 0.2 0 -6137.36 0.344462 9506.83 16942.3
28036000 0.2 0 -6085.92 -0.0872472 19039.8 16447.7
28037000 0.2 0 -6065.4 -0.0917017 19774.7 16955.4
28038000 0.2 0 -6042.71 0.311253 9931.24 16739.6
28039000 0.2 0 -6114.91 0.333192 9434.62 16498.7
28040000 0.2 0 -6153.72 0.0948165 14221.9 16673.6
28041000 0.2 0 -6163 -0.0797719 18895 16528.5
28042000 0.2 0 -6069.62 -0.7763 61286.4 16666.4
28043000 0.2 0 -6122.53 -0.144535 21230 16659.3
28044000 0.2 0 -6052.62 0.122083 13647 16748.4
28045000 0.2 0 -6184.1 -0.058443 18444 16721.7
28046000 0.2 0 -6131.61 -0.191127 23204.9 16840.2
28047000 0.2 0 -6110.9 -0.47291 36849.2 16669.4
28048000 0.2 0 -6121.97 -0.0340616 17485 16514
28049000 0.2 0 -6108.84 -0.14377 21467.1 16867.1
28050000 0.2 0 -6141.8 -0.0598115 18343.5 16592.4
28051000 0.2 0 -6073.48 -0.277925 26172 16420
28052000 0.2 0 -6085.71 -0.37734 31136.5 16534.2
28053000 0.2 0 -6052.42 -0.375373 32086.4 17095
28054000 0.2 0 -6145.69 -0.233342 24552.8 16600.3
28055000 0.2 0 -6159.15 -0.0792985 19130.8 16748.1
28056000 0.2 0 -6150.63 -0.16903 21852.3 16457.4
28057000 0.2 0 -6032.26 -0.25433 25424.7 16595.1
28058000 0.2 0 -6078.93 -0.216936 24145.4 16780.3
28059000 0.2 0 -6084.44 -0.490459 38081.8 16727.3
28060000 0.2 0 -6116 -0.0534738 18115.3 16561.1
28061000 0.2 0 -6032.65 -0.830299 67738.6 16825.8
28062000 0.2 0 -6085.22 -0.140554 20981.7 16574.8
28063000 0.2 0 -6069.88 0.253625 10852.1 16606.3
28064000 0.2 0 -6105.03 -0.246513 25099.2 16598.9
28065000 0.2 0 -6141.21 0.0329159 15732.9 16626
28066000 0.2 0 -6097.21 -0.19699 22989.7 16520.7
28067000 0.2 0 -6136.29 0.100815 14229.3 16851
28068000 0.2 0 -6150.32 -0.121014 20694.4 16892.6
28069000 0.2 0 -6112.98 0.133281 13106 16389.5
28070000 0.2 0 -6015.19 -0.1696 22240.2 16733.5
28071000 0.2 0 -6019.25 -0.203142 23502.3 16715.7
28072000 0.2 0 -5997.59 0.248591 11017.1 16717.1
28073000 0.2 0 -6096.78 0.546686 6573.7 16446.1
28074000 0.2 0 -6051.93 0.243885 11073.1 16670
28075000 0.2 0 -6189.16 0.118761 13490.7 16464.6
28076000 0.2 0 -6065.13 0.148864 12988.2 16672.2
28077000 0.2 0 -6005.93 -0.394527 32492.9 16764.2
28078000 0.2 0 -6093.87 -0.138295 20687.5 16404.4
28079000 0.2 0 -6082.64 -0.0177113 17152.2 16650.1
28080000 0.2 0 -6064.71 -0.112906 20359.3 16846.6
28081000 0.2 0 -6085.13 0.308854 9910.52 16637.6
28082000 0.2 0 -6119.01 -0.206819 23276.7 16453.4
28083000 0.2 0 -6078.77 -0.172608 22094 16539.8
28084000 0.2 0 -6109.22 -0.167934 22018.6 16613.2
28085000 0.2 0 -6093.99 -0.103995 19810.7 16639.6
28086000 0.2 0 -6154.88 -0.427185 34121.3 16665.9
28087000 0.2 0 -6083.86 0.224846 11382.3 16596.9
28088000 0.2 0 -6086.79 0.182783 12251.5 16647.2
28089000 0.2 0 -6066.87 -0.504174 38921.8 16707.4
28090000 0.2 0 -6101.84 0.210494 11705.2 16661.8
28091000 0.2 0 -6079.5 0.165737 12655.6 16711.7
28092000 0.2 0 -6120.84 0.195575 12129.6 16839.2
28093000 0.2 0 -6099.11 -0.00452774 16961.8 16833.4
28094000 0.2 0 -6121.55 -0.139417 21072.4 16678.3
28095000 0.2 0 -6126.45 0.0777314 14534.5 16558.7
28096000 0.2 0 -6150.62 0.382969 8925.4 16967.4
28097000 0.2 0 -6111.09 -0.190319 23352.5 16970.3
28098000 0.2 0 -6036.46 0.199051 12056.1 16835
28099000 0.2 0 -6108.02 -0.0553841 18332.5 16706.1
28100000 0.2 0 -6071.96 -0.0920062 19443.1 16662.5
28101000 0.2 0 -6090.44 0.248709 11039.6 16754.6
28102000 0.2 0 -6072.66 -0.292018 28026.1 17172.4
28103000 0.2 0 -6170.35 -0.344415 30229 16963.8
28104000 0.2 0 -6092.45 0.11769 13977.8 17028.4
28105000 0.2 0 -6137.49 0.169726 12465.8 16571.6
28106000 0.2 0 -6126.73 -0.00309127 17143.2 17054.5
28107000 0.2 0 -6169.22 -0.275026 26560.4 16744.9
28108000 0.2 0 -6101 0.0240875 16064.2 16726.5
28109000 0.2 0 -6105.11 -0.0663817 19113.8 17099.7
28110000 0.2 0 -6217.63 -0.0726153 18969.8 16794.4
28111000 0.2 0 -6063.6 0.0986067 14144.2 16688.3
28112000 0.2 0 -6095.98 -0.0033434 16694.6 16601.3
28113000 0.2 0 -6073.01 0.047287 15519.6 16800.7
28114000 0.2 0 -6035.81 0.180445 12433.2 16828
28115000 0.2 0 -6154.19 0.0809187 14591.8 16713.1
28116000 0.2 0 -6010.23 0.153367 12834.9 16600.3
28117000 0.2 0 -6036.84 -0.250894 25285 16599.3
28118000 0.2 0 -6093.77 0.0688704 14985.6 16820.8
28119000 0.2 0 -6070.92 -0.0631693 18790.8 16901.6
