# Time-averaged data for fix FEPout004
# TimeStep v_param v_param004 v_pe c_FEP004[1] c_FEP004[2] c_FEP004[3]
7000000 0.8 0.2 -6074.81 0.406503 8364.23 16540.8
7001000 0.8 0.2 -6071.14 -0.543543 41317.7 16602.5
7002000 0.8 0.2 -6098.31 1.87768 716.222 16707.4
7003000 0.8 0.2 -6068.27 1.88546 720.181 17020.4
7004000 0.8 0.2 -6121.87 2.16278 441.969 16631.9
7005000 0.8 0.2 -6094.66 -0.827425 67040.9 16733
7006000 0.8 0.2 -6058.47 -1.67457 277473 16723.2
7007000 0.8 0.2 -6074.02 -1.74234 313071 16841.3
7008000 0.8 0.2 -6049.26 0.455807 7743.02 16632.5
7009000 0.8 0.2 -6106.49 -0.91973 78329.5 16746.2
7010000 0.8 0.2 -6128.1 0.306549 10003 16728.1
7011000 0.8 0.2 -6156.3 -2.38172 905926 16674.2
7012000 0.8 0.2 -6147.25 2.10877 483.005 16602
7013000 0.8 0.2 -6123.12 -0.390314 31921.8 16586.3
7014000 0.8 0.2 -6157.75 0.565623 6395.35 16516.2
7015000 0.8 0.2 -6121.8 -0.759831 60069.1 16792.9
7016000 0.8 0.2 -6175.6 -0.549603 42475.6 16895.2
7017000 0.8 0.2 -6140.55 1.95739 634.946 16930.3
7018000 0.8 0.2 -6103.59 0.957512 3360.14 16745.2
7019000 0.8 0.2 -6104.37 0.303763 10159.1 16909.9
7020000 0.8 0.2 -6103.13 3.59484 40.2923 16749.7
7021000 0.8 0.2 -6141.29 1.1238 2547.93 16782.6
7022000 0.8 0.2 -6075.63 1.2209 2183.1 16923.1
7023000 0.8 0.2 -6136.69 1.45011 1475.63 16801.9
7024000 0.8 0.2 -6133.02 0.680836 5423 16991
7025000 0.8 0.2 -6078.53 1.28224 1985.2 17056.8
7026000 0.8 0.2 -6124.87 0.88119 3819.95 16749.1
7027000 0.8 0.2 -6082.84 -0.0171178 17140.3 16655.1
7028000 0.8 0.2 -6093.07 0.850965 3999.28 16668.5
7029000 0.8 0.2 -6099.69 2.78166 159.251 16922.9
7030000 0.8 0.2 -6207.51 3.3477 61.1024 16780.5
7031000 0.8 0.2 -6110.59 0.618765 6026.47 17014.7
7032000 0.8 0.2 -6075.58 1.77342 868.119 17001.6
7033000 0.8 0.2 -6110.38 1.12309 2572.24 16922.5
7034000 0.8 0.2 -6136.85 2.33295 332.426 16642.4
7035000 0.8 0.2 -6156.9 -0.0357518 17699.8 16669.6
7036000 0.8 0.2 -6128.25 0.0388419 15422 16460.2
7037000 0.8 0.2 -6083.68 0.757835 4594.63 16380.3
7038000 0.8 0.2 -6067.71 2.85564 140.594 16914.5
7039000 0.8 0.2 -6156.28 0.551916 6678.24 16854.8
7040000 0.8 0.2 -6097.7 -0.184831 23025.8 16887.6
7041000 0.8 0.2 -6083.38 -1.07281 100216 16573.4
7042000 0.8 0.2 -6058.37 -0.397851 33472.7 17173.7
7043000 0.8 0.2 -6184.07 1.4667 1422.57 16654.9
