# Time-averaged data for fix FEPout003
# TimeStep v_param v_param003 v_pe c_FEP003[1] c_FEP003[2] c_FEP003[3]
0 1 0.4 -6032.09 1.15293 2427.28 16788.3
1000 1 0.4 -6087.58 5.68292 1.2147 16764.2
2000 1 0.4 -6063.4 4.35194 11.4417 16935.9
3000 1 0.4 -6134.91 4.07278 18.1137 16786.5
4000 1 0.4 -6083.87 1.96581 625.081 16904.3
5000 1 0.4 -6141.14 3.65959 35.4706 16436.8
6000 1 0.4 -6214.22 1.26771 2008.77 16843.7
7000 1 0.4 -6187.22 1.1909 2230.48 16441.9
8000 1 0.4 -6105.6 1.76619 863.171 16700.7
9000 1 0.4 -6097.76 1.15234 2426.32 16765.2
10000 1 0.4 -6170.65 0.23073 11393.4 16777.9
11000 1 0.4 -6066.47 0.744687 4819.36 16806.7
12000 1 0.4 -6047.22 4.10745 16.7804 16482
13000 1 0.4 -6148.38 3.3938 56.4824 16758.9
14000 1 0.4 -6111.18 2.13542 456.1 16393.8
15000 1 0.4 -6087.46 1.26293 2021.47 16814.9
16000 1 0.4 -6043.1 -0.828014 67524.2 16837
17000 1 0.4 -6093.9 2.092 502.683 16798.9
18000 1 0.4 -6037.62 2.867 138.355 16965.2
19000 1 0.4 -6097.88 3.77907 29.7043 16819.5
20000 1 0.4 -6080.49 2.31913 342.067 16732.3
21000 1 0.4 -6147.97 4.13928 16.1742 16758
22000 1 0.4 -6126.84 0.595421 6217.46 16879.8
23000 1 0.4 -6149.5 1.92764 651.601 16528.6
24000 1 0.4 -6168.04 2.67878 185.332 16572.8
25000 1 0.4 -6043.95 3.61889 37.8071 16363.5
26000 1 0.4 -6074.21 1.17246 2342.01 16738.3
27000 1 0.4 -6061.16 -0.45815 35817.5 16608.9
28000 1 0.4 -6160.51 0.307271 10007.6 16756
29000 1 0.4 -6104.27 0.273332 10413.6 16471
30000 1 0.4 -6128.33 -0.964353 83982.5 16659.9
31000 1 0.4 -6068.65 1.07643 2760.68 16794.9
32000 1 0.4 -6097.93 3.62926 37.196 16381.4
33000 1 0.4 -6143.22 3.07239 96.2763 16661.1
34000 1 0.4 -6091.7 2.88485 131.195 16576.1
35000 1 0.4 -6136.04 1.99687 576.348 16420
36000 1 0.4 -6101.62 -0.642114 48724.9 16595.2
37000 1 0.4 -6104.15 -0.191303 22970.9 16665.5
38000 1 0.4 -6038.63 -0.138967 21580.3 17093.2
39000 1 0.4 -6068.91 0.662056 5539.46 16817.6
40000 1 0.4 -6158.39 2.70369 181.03 16879
41000 1 0.4 -6089.52 1.66242 1044.83 16986
42000 1 0.4 -6096.01 -0.798386 64823.5 16987.2
43000 1 0.4 -6071.41 4.27635 12.8787 16792.9
44000 1 0.4 -5977.35 5.09379 3.31424 17026.7
45000 1 0.4 -6060.98 2.75885 166.832 17062.9
46000 1 0.4 -6059.09 2.48598 260.549 16861.1
47000 1 0.4 -6111.39 1.03307 2979.1 16852.4
48000 1 0.4 -6094.1 3.14313 85.9597 16749.9
49000 1 0.4 -6089.27 2.11088 481.451 16607.1
50000 1 0.4 -6093.88 -0.0778667 19089.4 16752
51000 1 0.4 -6102.95 1.53025 1277.37 16637.2
52000 1 0.4 -6071.49 1.77835 834.812 16484.9
53000 1 0.4 -6137.49 0.607325 5952.63 16486.8
54000 1 0.4 -6098.17 0.89566 3728.29 16748.8
55000 1 0.4 -6062.43 1.79727 814.448 16601.4
56000 1 0.4 -6129.38 2.60046 212.389 16654.4
57000 1 0.4 -6180.41 2.35092 322.302 16629.1
58000 1 0.4 -6065.22 0.88152 3871.72 16985.4
59000 1 0.4 -6087.99 4.46701 9.36503 16813.3
60000 1 0.4 -6136.11 1.40988 1593.19 16956.8
61000 1 0.4 -6077.2 1.31173 1877.26 16947.2
62000 1 0.4 -6066.96 1.76415 886.364 17091.1
63000 1 0.4 -6113.71 1.7433 906.781 16883.8
64000 1 0.4 -6064.91 0.464237 7672.13 16714.9
65000 1 0.4 -6078.49 -0.595033 45572.3 16796.9
66000 1 0.4 -6116.94 -1.12533 109975 16653.6
67000 1 0.4 -6086.64 -0.0967285 20046.7 17044.2
68000 1 0.4 -6176.97 -0.412844 33672.2 16847
69000 1 0.4 -6103.37 1.4515 1459.45 16656.5
70000 1 0.4 -6111.32 0.754615 4789.95 16984.6
71000 1 0.4 -6141.63 -1.36454 165073 16735.3
72000 1 0.4 -6072.72 -0.616184 46662.1 16599.1
73000 1 0.4 -6127.5 -0.92309 79043.8 16804
74000 1 0.4 -6129.28 2.55842 233.088 17033
75000 1 0.4 -6198.52 3.26527 69.6511 16658.1
76000 1 0.4 -6114.7 4.31902 12.0425 16867.5
77000 1 0.4 -6048.66 3.21463 76.1689 16733.5
78000 1 0.4 -6102.92 -0.927783 79270.2 16720
79000 1 0.4 -6116.02 0.189571 11988 16475.8
80000 1 0.4 -6153.52 0.188435 12226.9 16772.1
81000 1 0.4 -6083.58 2.65869 195.415 16895.5
82000 1 0.4 -6122.71 0.544822 6777.61 16903.3
83000 1 0.4 -6109.85 1.218 2168.88 16731.4
84000 1 0.4 -6077.06 0.495207 7268.2 16679.3
85000 1 0.4 -5995.89 0.630566 5818.62 16756.3
86000 1 0.4 -6078.57 0.933737 3423.01 16391.6
87000 1 0.4 -6125.73 0.997742 3060.46 16316.5
88000 1 0.4 -6079.37 -0.260727 25693.2 16591.4
89000 1 0.4 -6159.21 0.618795 5954.09 16811.1
90000 1 0.4 -6104.34 1.76788 873.466 16948.1
91000 1 0.4 -6113.19 0.813 4291.49 16782.9
92000 1 0.4 -6082.28 1.75128 878.807 16583.5
93000 1 0.4 -6117.85 1.46023 1476.25 17096.8
94000 1 0.4 -6107.22 0.216342 11681.7 16792.2
95000 1 0.4 -6130.09 4.73923 5.88189 16671.2
96000 1 0.4 -6069.17 0.452282 7885.27 16838.2
97000 1 0.4 -6138.98 0.273632 10607.2 16785.6
98000 1 0.4 -6164.34 -0.602961 46630.9 16960
99000 1 0.4 -6098.83 2.98503 113.567 16974.5
100000 1 0.4 -6082.21 1.05405 2869.14 16811.7
101000 1 0.4 -6073.31 0.5251 6853.58 16536.5
102000 1 0.4 -6078.54 -0.0416702 17875.1 16668.4
103000 1 0.4 -6026.77 1.27745 1962.58 16727.6
