# Time-averaged data for fix FEPout000
# TimeStep v_param v_param000 v_pe c_FEP000[1] c_FEP000[2] c_FEP000[3]
0 1 1 -6032.09 0 16788.3 16788.3
1000 1 1 -6087.58 0 16764.2 16764.2
2000 1 1 -6063.4 0 16935.9 16935.9
3000 1 1 -6134.91 0 16786.5 16786.5
4000 1 1 -6083.87 0 16904.3 16904.3
5000 1 1 -6141.14 0 16436.8 16436.8
6000 1 1 -6214.22 0 16843.7 16843.7
7000 1 1 -6187.22 0 16441.9 16441.9
8000 1 1 -6105.6 0 16700.7 16700.7
9000 1 1 -6097.76 0 16765.2 16765.2
10000 1 1 -6170.65 0 16777.9 16777.9
11000 1 1 -6066.47 0 16806.7 16806.7
12000 1 1 -6047.22 0 16482 16482
13000 1 1 -6148.38 0 16758.9 16758.9
14000 1 1 -6111.18 0 16393.8 16393.8
15000 1 1 -6087.46 0 16814.9 16814.9
16000 1 1 -6043.1 0 16837 16837
17000 1 1 -6093.9 0 16798.9 16798.9
18000 1 1 -6037.62 0 16965.2 16965.2
19000 1 1 -6097.88 0 16819.5 16819.5
20000 1 1 -6080.49 0 16732.3 16732.3
21000 1 1 -6147.97 0 16758 16758
22000 1 1 -6126.84 0 16879.8 16879.8
23000 1 1 -6149.5 0 16528.6 16528.6
24000 1 1 -6168.04 0 16572.8 16572.8
25000 1 1 -6043.95 0 16363.5 16363.5
26000 1 1 -6074.21 0 16738.3 16738.3
27000 1 1 -6061.16 0 16608.9 16608.9
28000 1 1 -6160.51 0 16756 16756
29000 1 1 -6104.27 0 16471 16471
30000 1 1 -6128.33 0 16659.9 16659.9
31000 1 1 -6068.65 0 16794.9 16794.9
32000 1 1 -6097.93 0 16381.4 16381.4
33000 1 1 -6143.22 0 16661.1 16661.1
34000 1 1 -6091.7 0 16576.1 16576.1
35000 1 1 -6136.04 0 16420 16420
36000 1 1 -6101.62 0 16595.2 16595.2
37000 1 1 -6104.15 0 16665.5 16665.5
38000 1 1 -6038.63 0 17093.2 17093.2
39000 1 1 -6068.91 0 16817.6 16817.6
40000 1 1 -6158.39 0 16879 16879
41000 1 1 -6089.52 0 16986 16986
42000 1 1 -6096.01 0 16987.2 16987.2
43000 1 1 -6071.41 0 16792.9 16792.9
44000 1 1 -5977.35 0 17026.7 17026.7
45000 1 1 -6060.98 0 17062.9 17062.9
46000 1 1 -6059.09 0 16861.1 16861.1
47000 1 1 -6111.39 0 16852.4 16852.4
48000 1 1 -6094.1 0 16749.9 16749.9
49000 1 1 -6089.27 0 16607.1 16607.1
50000 1 1 -6093.88 0 16752 16752
51000 1 1 -6102.95 0 16637.2 16637.2
52000 1 1 -6071.49 0 16484.9 16484.9
53000 1 1 -6137.49 0 16486.8 16486.8
54000 1 1 -6098.17 0 16748.8 16748.8
55000 1 1 -6062.43 0 16601.4 16601.4
56000 1 1 -6129.38 0 16654.4 16654.4
57000 1 1 -6180.41 0 16629.1 16629.1
58000 1 1 -6065.22 0 16985.4 16985.4
59000 1 1 -6087.99 0 16813.3 16813.3
60000 1 1 -6136.11 0 16956.8 16956.8
61000 1 1 -6077.2 0 16947.2 16947.2
62000 1 1 -6066.96 0 17091.1 17091.1
63000 1 1 -6113.71 0 16883.8 16883.8
64000 1 1 -6064.91 0 16714.9 16714.9
65000 1 1 -6078.49 0 16796.9 16796.9
66000 1 1 -6116.94 0 16653.6 16653.6
67000 1 1 -6086.64 0 17044.2 17044.2
68000 1 1 -6176.97 0 16847 16847
69000 1 1 -6103.37 0 16656.5 16656.5
70000 1 1 -6111.32 0 16984.6 16984.6
71000 1 1 -6141.63 0 16735.3 16735.3
72000 1 1 -6072.72 0 16599.1 16599.1
73000 1 1 -6127.5 0 16804 16804
74000 1 1 -6129.28 0 17033 17033
75000 1 1 -6198.52 0 16658.1 16658.1
76000 1 1 -6114.7 0 16867.5 16867.5
77000 1 1 -6048.66 0 16733.5 16733.5
78000 1 1 -6102.92 0 16720 16720
79000 1 1 -6116.02 0 16475.8 16475.8
80000 1 1 -6153.52 0 16772.1 16772.1
81000 1 1 -6083.58 0 16895.5 16895.5
82000 1 1 -6122.71 0 16903.3 16903.3
83000 1 1 -6109.85 0 16731.4 16731.4
84000 1 1 -6077.06 0 16679.3 16679.3
85000 1 1 -5995.89 0 16756.3 16756.3
86000 1 1 -6078.57 0 16391.6 16391.6
87000 1 1 -6125.73 0 16316.5 16316.5
88000 1 1 -6079.37 0 16591.4 16591.4
89000 1 1 -6159.21 0 16811.1 16811.1
90000 1 1 -6104.34 0 16948.1 16948.1
91000 1 1 -6113.19 0 16782.9 16782.9
92000 1 1 -6082.28 0 16583.5 16583.5
93000 1 1 -6117.85 0 17096.8 17096.8
94000 1 1 -6107.22 0 16792.2 16792.2
95000 1 1 -6130.09 0 16671.2 16671.2
96000 1 1 -6069.17 0 16838.2 16838.2
97000 1 1 -6138.98 0 16785.6 16785.6
98000 1 1 -6164.34 0 16960 16960
99000 1 1 -6098.83 0 16974.5 16974.5
100000 1 1 -6082.21 0 16811.7 16811.7
101000 1 1 -6073.31 0 16536.5 16536.5
102000 1 1 -6078.54 0 16668.4 16668.4
103000 1 1 -6026.77 0 16727.6 16727.6
104000 1 1 -6081.91 0 16910.3 16910.3
105000 1 1 -6078.52 0 16714.8 16714.8
106000 1 1 -6071.07 0 16454.2 16454.2
107000 1 1 -6096.91 0 16729.1 16729.1
108000 1 1 -6073.74 0 16551.5 16551.5
109000 1 1 -6108.49 0 16570.8 16570.8
110000 1 1 -6126.3 0 16674.8 16674.8
111000 1 1 -6109.71 0 16690.5 16690.5
112000 1 1 -6097.07 0 16767.2 16767.2
113000 1 1 -6107.44 0 17040.7 17040.7
114000 1 1 -6124.74 0 16806.6 16806.6
115000 1 1 -6124.17 0 16958.3 16958.3
116000 1 1 -6105.23 0 16660 16660
117000 1 1 -6091.98 0 16494.6 16494.6
118000 1 1 -6035.32 0 16664.7 16664.7
119000 1 1 -6027.66 0 17176 17176
120000 1 1 -6132.51 0 16780.3 16780.3
121000 1 1 -6205.34 0 16649.1 16649.1
122000 1 1 -6102.59 0 16496.6 16496.6
123000 1 1 -6107.14 0 16514.4 16514.4
124000 1 1 -6081.77 0 16591.1 16591.1
125000 1 1 -6081.4 0 16889.3 16889.3
126000 1 1 -6085.05 0 16542.1 16542.1
127000 1 1 -6167.54 0 16475.4 16475.4
128000 1 1 -6149.53 0 16480.5 16480.5
129000 1 1 -6072.52 0 16918.7 16918.7
130000 1 1 -6147.48 0 16918.2 16918.2
