# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
21000000 0.4 0.01 295.837 841.164 16655.5 -6165.64 0.00718555 -0.00680218
21001000 0.4 0.01 308.351 -539.303 16790.3 -6131.78 0.00123026 -0.000841171
21002000 0.4 0.01 305.706 51.7279 16942.3 -6091.64 -0.00369485 0.00408083
21003000 0.4 0.01 299.323 -806.067 17156.9 -6001.76 -0.0185706 0.018952
21004000 0.4 0.01 302.055 837.422 16678.2 -6069.94 -0.0192243 0.0196132
21005000 0.4 0.01 312.545 317.815 16682.6 -6064.17 0.00854836 -0.00816009
21006000 0.4 0.01 305.686 -90.6559 16733.7 -6077.75 -0.0125057 0.0128984
21007000 0.4 0.01 291.989 57.3037 16823.3 -6093.21 -0.0200473 0.0204394
21008000 0.4 0.01 290.762 691.226 16730.6 -5996.72 -0.00191824 0.00230275
21009000 0.4 0.01 289.121 234.469 16615.9 -6099.53 -0.00303893 0.00342222
21010000 0.4 0.01 303.994 -94.7999 16778.1 -6081.13 0.00771515 -0.0073238
21011000 0.4 0.01 302.969 -818.989 17083.9 -6066.75 -0.00834394 0.00873397
21012000 0.4 0.01 289.621 221.492 16747.5 -6098.21 -0.00554329 0.00593421
21013000 0.4 0.01 305.033 -264.123 16913.5 -6074.16 -0.0145009 0.0148878
21014000 0.4 0.01 295.78 -1601.22 17076.5 -6060.77 -0.0133931 0.0137733
21015000 0.4 0.01 302.432 592.021 17000.6 -6057.97 -0.0106307 0.0110199
21016000 0.4 0.01 295.974 -655.49 16930 -6134.66 0.00660031 -0.00621314
21017000 0.4 0.01 289.758 -560.716 16984.1 -6046.69 -0.0150002 0.0153848
21018000 0.4 0.01 308.104 -33.4877 16780.9 -6033.92 -0.0179033 0.0182917
21019000 0.4 0.01 303.159 -524.103 16562.9 -6077.94 0.00670807 -0.00631751
21020000 0.4 0.01 291.605 -342.927 16376.3 -6102.63 -0.0150246 0.0154154
21021000 0.4 0.01 297.521 730.748 16450 -6111.21 2.49387e-05 0.00035828
21022000 0.4 0.01 307.342 374.771 16504.7 -6064.55 -0.0118027 0.0121832
21023000 0.4 0.01 305.172 124.999 16939.5 -6125.87 -0.0137337 0.0141136
21024000 0.4 0.01 299.415 279.382 16632.3 -6094.97 -0.0237477 0.0241347
21025000 0.4 0.01 299.781 964.748 16515.4 -6116.92 -0.0349071 0.0352932
21026000 0.4 0.01 288.306 698.886 16401.8 -6073.75 0.0202369 -0.0198453
21027000 0.4 0.01 288.336 167.05 16602 -6106.4 0.0169011 -0.016513
21028000 0.4 0.01 294.903 -334.443 16715.7 -6047.89 -0.0314306 0.0318122
21029000 0.4 0.01 302.205 711.839 16603 -6095.79 0.00139839 -0.00102071
21030000 0.4 0.01 303.22 975.523 16778.8 -6106.21 -0.0159479 0.0163388
21031000 0.4 0.01 307.33 -1113.05 16905.7 -6127.06 -0.00798285 0.0083687
21032000 0.4 0.01 306.662 372.258 16757.1 -6093.9 -0.0179087 0.0182933
21033000 0.4 0.01 292.307 130.616 16703 -6083.63 0.00665199 -0.00626434
21034000 0.4 0.01 306.478 -251.955 16555.7 -6090.66 0.010643 -0.0102488
21035000 0.4 0.01 286.659 -458.066 16696.1 -6039.02 -0.000435582 0.000827953
21036000 0.4 0.01 292.468 84.5994 16451.8 -6136.99 -0.00288127 0.00326784
21037000 0.4 0.01 296.588 -49.8389 16803.3 -6024.4 -0.00733175 0.00771117
21038000 0.4 0.01 300.246 1458.63 16680.8 -6064.05 -0.00016635 0.000557586
21039000 0.4 0.01 286.565 271.127 16643.3 -6031.97 -0.0124552 0.0128396
21040000 0.4 0.01 314.641 177.486 16508 -6093.32 0.0170103 -0.0166187
21041000 0.4 0.01 287.323 -101.048 17006.7 -6052.31 -0.000344378 0.000733389
21042000 0.4 0.01 297.718 587.588 16729.9 -6121 0.00745675 -0.00707389
21043000 0.4 0.01 290.489 143.05 16662.3 -6011.49 -0.00759974 0.00799107
21044000 0.4 0.01 297.195 356.651 16496.7 -6051.38 -0.0183656 0.0187501
21045000 0.4 0.01 298.117 -996.096 16852.2 -6045.8 -0.0195262 0.0199107
21046000 0.4 0.01 300.784 -103.947 16716.5 -6061.64 -0.00910591 0.00948988
21047000 0.4 0.01 286.326 401.192 16618.8 -6133.31 0.0072132 -0.00682433
21048000 0.4 0.01 287.773 -194.352 16564.9 -6098.58 -0.0133342 0.0137234
21049000 0.4 0.01 295.71 -48.3102 16674.5 -6088.82 -0.011638 0.0120228
21050000 0.4 0.01 301.034 -1719.69 16687.2 -6005.77 -0.0191547 0.0195316
21051000 0.4 0.01 300.184 1000.34 16712.5 -6141.91 -0.00849445 0.00888305
21052000 0.4 0.01 295.086 -799.479 16813.6 -6098.35 -0.00921415 0.0096041
21053000 0.4 0.01 297.418 -658.137 16703.6 -6131.93 0.0285388 -0.0281564
21054000 0.4 0.01 305.01 -84.4868 16749 -6100.74 -0.0183902 0.0187756
