# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
0 0 0.01 287.43 -1077.89 16895.8 -6121.7 -0.0154718 0.0158589
1000 0 0.01 302.573 292.139 16512.5 -6068.05 -0.016485 0.0168694
2000 0 0.01 294.312 791.822 16642.6 -6099.67 0.00502337 -0.00463962
3000 0 0.01 314.633 748.67 16461.8 -6110.93 -0.00433395 0.00472194
4000 0 0.01 295.752 -148.191 16758.4 -6079.21 0.00296061 -0.00257333
5000 0 0.01 300.98 291.305 17058.9 -6038.99 -0.00219198 0.00258484
6000 0 0.01 301.806 -643.007 16725.5 -6073.4 -0.00135059 0.0017436
7000 0 0.01 296.685 -369.945 16597.8 -6085.45 0.00795098 -0.00756545
8000 0 0.01 304.098 41.9968 16783.5 -6072.2 0.000455285 -6.75807e-05
9000 0 0.01 301.388 95.947 16639 -6167.82 0.00347294 -0.00308858
10000 0 0.01 286.12 751.493 16440.2 -6118.5 0.00946574 -0.00907726
11000 0 0.01 300.598 -501.919 17018.1 -6159.91 -0.0138425 0.0142385
12000 0 0.01 298.887 233.294 16967.2 -6075.89 0.00184912 -0.00146001
13000 0 0.01 309.675 -466.913 16956.4 -6100.15 0.00454701 -0.00416052
14000 0 0.01 304.496 -491.248 17007 -6055.23 0.0012968 -0.00090534
15000 0 0.01 297.303 -529.488 16809.6 -6098.33 -0.00817234 0.00856578
16000 0 0.01 305.63 -636.732 16997.6 -6070.38 -0.00515266 0.00554544
17000 0 0.01 308.197 -1009.25 17004.8 -6079.09 -0.00978914 0.0101743
18000 0 0.01 293.571 -47.8348 16846.1 -6090.97 -0.00387541 0.00425982
19000 0 0.01 294.751 277.208 16956.3 -6078.99 0.0103956 -0.0100091
20000 0 0.01 298.094 -227.909 16978.3 -6038.31 -0.0251632 0.025542
21000 0 0.01 297.509 669.873 17110.6 -6059.88 0.011445 -0.0110598
22000 0 0.01 287.131 188.66 16870.5 -6077.18 -0.00564624 0.00603573
23000 0 0.01 299.768 -57.2356 16760.2 -6151.46 -0.0132814 0.0136706
24000 0 0.01 301.592 -446.887 16391.6 -6093.62 -0.00236985 0.00275471
25000 0 0.01 286.511 -404.056 16745.1 -6122.05 -0.0279339 0.0283208
26000 0 0.01 296.769 178.756 16503.7 -6152.53 0.00360826 -0.00321654
27000 0 0.01 292.994 -60.9702 16550 -6104.17 -0.0201215 0.0205045
28000 0 0.01 298.159 32.1832 16851.5 -6051.42 0.00142641 -0.00103591
29000 0 0.01 295.725 556.02 16902.2 -6078.5 -0.022962 0.0233453
30000 0 0.01 297.796 453.499 16865.1 -6054.37 0.0126746 -0.0122902
31000 0 0.01 297.037 -116.029 16905.4 -6081.09 0.00587804 -0.00548836
32000 0 0.01 292.097 1121.04 16590.6 -6103.61 -0.0113796 0.0117715
33000 0 0.01 299.946 28.9046 17081.5 -6105.59 -0.00449988 0.00488092
34000 0 0.01 301.236 -913.9 17057.3 -6048 0.00214993 -0.00176554
35000 0 0.01 304.209 1463.71 16495.2 -6105.96 -0.00507929 0.00546466
36000 0 0.01 292.005 -811.606 16730.5 -6073.75 -0.00718456 0.00757509
37000 0 0.01 308.214 -894.205 16735.2 -6075.82 0.00648252 -0.00609499
38000 0 0.01 308.543 -180.026 16787.8 -6105.93 -0.0350122 0.0354034
39000 0 0.01 315.043 1079.75 16734 -6092.68 -0.0163005 0.0166905
40000 0 0.01 288.875 -334.899 16490.4 -6135.13 0.017448 -0.0170623
41000 0 0.01 284.556 6.2006 16722.5 -6042.75 0.00481182 -0.00442116
42000 0 0.01 293.595 85.0955 16559.8 -6155.73 -0.0254358 0.0258223
43000 0 0.01 305.173 350.646 16589 -6123.36 -0.000692112 0.00108637
44000 0 0.01 302.601 -597.359 16632.7 -6103.42 0.0157155 -0.0153198
45000 0 0.01 295.12 324.52 16564.6 -6090.72 -0.0143837 0.0147736
