# Time-averaged data for fix FEPout015
# TimeStep v_param v_param015 v_param2 v_pe c_FEP015[1] c_FEP015[2] c_FEP015[3]
37000000 0.05 0 0 -6079.44 -3.05546e-05 16475.7 16474.9
37001000 0.05 0 0 -6140.44 -4.07846e-05 16348.8 16347.7
37002000 0.05 0 0 -6084.95 -4.34385e-05 16994 16992.8
37003000 0.05 0 0 -6098.04 -3.41561e-05 16941.1 16940.1
37004000 0.05 0 0 -6139.33 -2.14737e-05 16692.7 16692.1
37005000 0.05 0 0 -6110.53 -9.90497e-06 16533.8 16533.5
37006000 0.05 0 0 -6091.53 -3.8003e-05 16498.2 16497.2
37007000 0.05 0 0 -6157.72 -5.22137e-05 16569.8 16568.4
37008000 0.05 0 0 -6107.2 -1.18948e-05 16544.3 16543.9
37009000 0.05 0 0 -6092.52 -4.10869e-05 16493.1 16492
37010000 0.05 0 0 -6116.2 -4.49729e-05 16681.6 16680.3
37011000 0.05 0 0 -6128.12 -2.86522e-05 16590.2 16589.4
37012000 0.05 0 0 -6092.49 -2.55762e-05 16327.2 16326.5
37013000 0.05 0 0 -6124.02 -3.34814e-05 16744.5 16743.5
37014000 0.05 0 0 -6083.7 -4.11747e-05 16440.2 16439.1
37015000 0.05 0 0 -6084.91 -1.79072e-06 16794.1 16794.1
37016000 0.05 0 0 -6141.46 -2.36626e-05 16814.5 16813.8
37017000 0.05 0 0 -6141.49 -3.80607e-05 16569.1 16568
37018000 0.05 0 0 -6193.16 -4.63312e-06 16476.6 16476.4
37019000 0.05 0 0 -6139.07 -3.65742e-05 16741.3 16740.3
37020000 0.05 0 0 -6165.87 -4.41888e-05 16716.9 16715.6
37021000 0.05 0 0 -6066.37 -5.39017e-05 16575.9 16574.4
37022000 0.05 0 0 -6067.4 -4.13458e-05 16565 16563.9
37023000 0.05 0 0 -6108.94 8.51248e-06 16504.5 16504.8
37024000 0.05 0 0 -6109.84 -4.32701e-05 16674 16672.8
37025000 0.05 0 0 -6102 -3.41191e-05 16559.3 16558.4
37026000 0.05 0 0 -6156.85 -4.41435e-05 16433.7 16432.5
37027000 0.05 0 0 -6078.85 -3.49294e-05 16196.5 16195.6
37028000 0.05 0 0 -6093.33 -5.46163e-05 16638 16636.5
37029000 0.05 0 0 -6105.16 -3.79353e-05 16548.3 16547.3
37030000 0.05 0 0 -6046.94 -4.63412e-05 16734.8 16733.5
37031000 0.05 0 0 -6080.74 -2.35881e-05 16552.2 16551.5
37032000 0.05 0 0 -6090.57 -2.7906e-05 16784.3 16783.5
37033000 0.05 0 0 -6083.56 -3.26732e-05 16777.8 16776.8
37034000 0.05 0 0 -6093.34 -4.99567e-05 16485.1 16483.8
37035000 0.05 0 0 -6012.02 -4.06601e-05 16885.3 16884.2
37036000 0.05 0 0 -6102.67 -2.24128e-05 16791.7 16791
37037000 0.05 0 0 -6115.64 -3.98562e-05 16420.1 16419
37038000 0.05 0 0 -6085.96 -4.69485e-05 16714.3 16713
37039000 0.05 0 0 -6094.07 -3.51542e-06 16493.7 16493.6
37040000 0.05 0 0 -6088.97 -2.22867e-05 16425.5 16424.8
37041000 0.05 0 0 -6015.95 -7.92122e-06 16715.2 16715
37042000 0.05 0 0 -6070.7 -3.86303e-05 16312.3 16311.3
37043000 0.05 0 0 -6133.45 -3.66891e-05 16300 16299
37044000 0.05 0 0 -6086.12 -7.01954e-05 16263.8 16261.9
37045000 0.05 0 0 -6077.44 -4.97508e-05 16628.2 16626.8
37046000 0.05 0 0 -6128.31 -3.25244e-05 16789 16788
37047000 0.05 0 0 -6081.44 -4.91873e-05 16739.3 16737.9
37048000 0.05 0 0 -6050.87 -3.66124e-06 16693.5 16693.4
37049000 0.05 0 0 -6106.22 -2.53124e-05 16673.6 16672.9
37050000 0.05 0 0 -6080.47 -2.27188e-07 16444.8 16444.8
37051000 0.05 0 0 -6076.44 -1.58478e-05 16512.2 16511.7
37052000 0.05 0 0 -6094.4 -4.80444e-05 16731 16729.7
37053000 0.05 0 0 -6049.57 -4.08194e-05 16483 16481.9
37054000 0.05 0 0 -5953.53 4.91761e-06 16744.3 16744.5
37055000 0.05 0 0 -6068.01 -2.34476e-05 16473.1 16472.5
37056000 0.05 0 0 -6052.24 -4.04934e-05 16760.4 16759.3
37057000 0.05 0 0 -6103.19 -1.66016e-05 16694.4 16694
37058000 0.05 0 0 -6085.72 -1.39587e-06 16675.1 16675.1
37059000 0.05 0 0 -6038.94 -4.18583e-05 16777.8 16776.7
37060000 0.05 0 0 -5968.84 -2.07784e-05 16973.2 16972.6
37061000 0.05 0 0 -6094.53 -3.63768e-05 16331.7 16330.7
37062000 0.05 0 0 -6127.9 -3.7837e-05 16379.1 16378.1
37063000 0.05 0 0 -6043.83 -3.7318e-05 16803.7 16802.7
37064000 0.05 0 0 -6059.88 -3.09718e-05 16674.9 16674
37065000 0.05 0 0 -6047.89 -4.43173e-05 16524.5 16523.3
37066000 0.05 0 0 -6073.23 -4.27455e-05 16928.4 16927.2
37067000 0.05 0 0 -6102.6 -3.7176e-05 16209.5 16208.5
37068000 0.05 0 0 -6128.81 -2.66754e-05 16386.9 16386.2
37069000 0.05 0 0 -6110.91 -4.44176e-06 16426.2 16426.1
37070000 0.05 0 0 -6008.49 -2.93654e-05 16525.3 16524.5
