# Time-averaged data for fix FEPout012
# TimeStep v_param v_param012 v_param2 v_pe c_FEP012[1] c_FEP012[2] c_FEP012[3]
49000000 0.65 0.2 0 -6168.61 1.84495 762.237 16830.7
49001000 0.65 0.2 0 -6061.29 -2.44188 1.01014e+06 16807.9
49002000 0.65 0.2 0 -6069.34 0.643653 5682.45 16727.3
49003000 0.65 0.2 0 -6005.36 0.443432 8046.89 16930.2
49004000 0.65 0.2 0 -6107.83 0.188862 12075.8 16576.7
49005000 0.65 0.2 0 -6091.23 1.39271 1624.32 16797.1
49006000 0.65 0.2 0 -6093.75 1.45961 1453.54 16816.1
49007000 0.65 0.2 0 -6103.26 0.638587 5761.1 16815.3
49008000 0.65 0.2 0 -6081.8 1.12578 2554.23 16879.9
49009000 0.65 0.2 0 -6058.04 1.5794 1165.12 16479.2
49010000 0.65 0.2 0 -6115.74 1.2382 2072.84 16541.5
49011000 0.65 0.2 0 -6027.47 -0.590117 44855.5 16669.6
49012000 0.65 0.2 0 -6120.05 -0.835247 66728.3 16437.9
49013000 0.65 0.2 0 -6122.85 0.353188 9170.62 16584.1
49014000 0.65 0.2 0 -6090.92 -0.23908 24999.4 16740.3
49015000 0.65 0.2 0 -6106.17 -0.246689 25290.5 16720.5
49016000 0.65 0.2 0 -6090.62 0.0501201 15485.1 16843.3
49017000 0.65 0.2 0 -6032.12 -0.443851 35589.4 16903.7
49018000 0.65 0.2 0 -6072.99 0.715676 5030.54 16709.9
49019000 0.65 0.2 0 -6053.07 0.36923 9077.47 16863.3
49020000 0.65 0.2 0 -6113.51 0.195978 11970.3 16629.2
49021000 0.65 0.2 0 -6118.51 1.54935 1235.86 16620.7
49022000 0.65 0.2 0 -6094.83 0.733508 4888.85 16732.3
49023000 0.65 0.2 0 -6056.67 0.87971 3842.48 16806.1
49024000 0.65 0.2 0 -6080.87 0.286703 10214.4 16522.3
49025000 0.65 0.2 0 -6114.29 1.90378 700.966 17083.3
49026000 0.65 0.2 0 -6061.78 1.81287 801.326 16767.1
49027000 0.65 0.2 0 -6083.87 1.09214 2684.93 16770.3
49028000 0.65 0.2 0 -6075.82 0.75215 4717.86 16660
49029000 0.65 0.2 0 -6060.22 -0.656182 50972.3 16955.7
49030000 0.65 0.2 0 -6041.55 0.255129 10832.9 16618.8
49031000 0.65 0.2 0 -6097.97 0.0769383 14583 16591.9
49032000 0.65 0.2 0 -6112.43 1.33017 1787.72 16645.9
49033000 0.65 0.2 0 -6055.14 0.478111 7438.42 16587.4
49034000 0.65 0.2 0 -6120.94 1.24555 2062.66 16664.5
49035000 0.65 0.2 0 -6072.02 1.34826 1727.74 16583.2
49036000 0.65 0.2 0 -6113.88 1.3317 1810.23 16898.9
49037000 0.65 0.2 0 -6089.62 0.364285 9148.69 16855.2
