# Time-averaged data for fix FEPout005
# TimeStep v_param v_param005 v_param2 v_pe c_FEP005[1] c_FEP005[2] c_FEP005[3]
21000000 0.85 0.75 0 -6053.22 1.73121 927.987 16931.6
21001000 0.85 0.75 0 -6097.18 1.96282 629.637 16942.2
21002000 0.85 0.75 0 -6025.58 2.06122 539.063 17108.3
21003000 0.85 0.75 0 -6045.86 1.93431 647.832 16618
21004000 0.85 0.75 0 -6059.38 1.8223 800.641 17019.8
21005000 0.85 0.75 0 -6108.94 1.98099 610.714 16941.6
21006000 0.85 0.75 0 -6058.84 2.02401 559.462 16681.3
21007000 0.85 0.75 0 -6111.1 2.33708 335.37 16906.2
21008000 0.85 0.75 0 -6107.48 2.21641 404.427 16651.6
21009000 0.85 0.75 0 -6142.3 1.57001 1193.14 16611.9
21010000 0.85 0.75 0 -6107.99 0.918433 3597.2 16789.2
21011000 0.85 0.75 0 -6088.31 1.34241 1780.24 16920.2
21012000 0.85 0.75 0 -6114.96 1.38288 1639.55 16677.6
21013000 0.85 0.75 0 -6087.9 1.02196 2964.69 16461.1
21014000 0.85 0.75 0 -6062.58 1.93943 646.744 16733.1
21015000 0.85 0.75 0 -6143.65 1.80393 810.707 16710.8
21016000 0.85 0.75 0 -6157.15 1.02924 2938.41 16515.6
21017000 0.85 0.75 0 -6058.31 1.1853 2317.69 16924.9
21018000 0.85 0.75 0 -6087.13 1.42562 1564.69 17098.9
21019000 0.85 0.75 0 -6068.42 1.8833 715.346 16845
21020000 0.85 0.75 0 -6087.09 1.5297 1287.07 16747.9
21021000 0.85 0.75 0 -6146.59 1.49654 1356.73 16699.2
21022000 0.85 0.75 0 -6061.71 1.834 767.341 16635.2
21023000 0.85 0.75 0 -6102.56 0.969331 3243.22 16486.1
21024000 0.85 0.75 0 -6080.06 1.08293 2676.02 16458.2
21025000 0.85 0.75 0 -6090.03 1.92378 661.568 16673.1
21026000 0.85 0.75 0 -6099.6 2.14318 455.879 16600.4
21027000 0.85 0.75 0 -6078.27 1.71097 948.503 16728.4
21028000 0.85 0.75 0 -6065.04 1.92783 664.074 16850.2
21029000 0.85 0.75 0 -6164.01 1.114 2531.46 16402.1
21030000 0.85 0.75 0 -6076.82 2.21073 401.384 16369.7
21031000 0.85 0.75 0 -6122.93 1.65847 1024.03 16538
21032000 0.85 0.75 0 -6055.98 1.8963 695.144 16730
21033000 0.85 0.75 0 -6164.48 2.03534 541.556 16457.1
21034000 0.85 0.75 0 -6103.5 1.7695 868.761 16902.6
21035000 0.85 0.75 0 -6015.42 1.51164 1321.52 16683.1
21036000 0.85 0.75 0 -6070.93 1.36334 1727.33 17003.8
21037000 0.85 0.75 0 -6106.14 1.91376 668.512 16567.3
21038000 0.85 0.75 0 -6055.43 1.61635 1094.59 16471.5
21039000 0.85 0.75 0 -6124.43 1.60899 1098.78 16331.7
21040000 0.85 0.75 0 -6103.95 1.45615 1441.16 16576.6
21041000 0.85 0.75 0 -6039.39 1.21988 2162.61 16735.6
21042000 0.85 0.75 0 -6089.27 2.0291 544.894 16386.1
21043000 0.85 0.75 0 -6128.43 2.39257 301.051 16656.7
21044000 0.85 0.75 0 -6140.74 1.67332 1009.14 16708.5
21045000 0.85 0.75 0 -6124.59 1.61938 1113.49 16841.5
21046000 0.85 0.75 0 -6125.35 2.291 359.437 16771.7
21047000 0.85 0.75 0 -6111.34 1.78048 858.568 17014.7
21048000 0.85 0.75 0 -6109.79 1.61449 1130.65 16961.3
21049000 0.85 0.75 0 -6097.47 1.9511 647.546 17085
21050000 0.85 0.75 0 -6113.02 1.97228 623.762 17052.6
21051000 0.85 0.75 0 -6117.96 1.12753 2555.63 16938.9
21052000 0.85 0.75 0 -6101.29 1.82553 788.708 16857.3
21053000 0.85 0.75 0 -6078.62 1.57514 1230.81 17284.5
21054000 0.85 0.75 0 -6055.41 0.699898 5177.19 16747.8
21055000 0.85 0.75 0 -6088.34 2.25405 387.701 17003.3
21056000 0.85 0.75 0 -6102.22 2.12225 481.458 16927.2
21057000 0.85 0.75 0 -6145.19 1.67383 1002.41 16611.4
