# Time-averaged data for fix FEPout000
# TimeStep v_param v_param000 v_param2 v_pe c_FEP000[1] c_FEP000[2] c_FEP000[3]
14000000 0.9 1 0 -6048.65 -3.82086 1.03352e+07 17017.1
14001000 0.9 1 0 -6007.97 -1.39812 177785 17036.7
14002000 0.9 1 0 -6100.6 -2.64121 1.42556e+06 16978.7
14003000 0.9 1 0 -6077.25 -3.32849 4.47339e+06 16822.2
14004000 0.9 1 0 -6040.35 -3.10093 3.06211e+06 16867.3
14005000 0.9 1 0 -6100.06 -2.30792 806162 16793.3
14006000 0.9 1 0 -6138.36 -3.81968 1.02707e+07 16944.3
14007000 0.9 1 0 -6153.84 -3.50493 5.99749e+06 16775.8
14008000 0.9 1 0 -6083.89 -3.6801 8.00193e+06 16684
14009000 0.9 1 0 -6112.54 -3.887 1.11823e+07 16478.4
14010000 0.9 1 0 -6097.32 -3.45257 5.42922e+06 16580.5
14011000 0.9 1 0 -6054.63 -3.98473 1.32347e+07 16554
14012000 0.9 1 0 -6048.46 -3.7784 9.24093e+06 16338.5
14013000 0.9 1 0 -6090.83 -3.00781 2.59978e+06 16741.4
14014000 0.9 1 0 -6080.52 -3.49909 5.92592e+06 16738.7
14015000 0.9 1 0 -6113.87 -1.78283 325634 16366.9
14016000 0.9 1 0 -6093.88 -3.97958 1.32673e+07 16738.9
14017000 0.9 1 0 -6033.13 -3.24538 3.87044e+06 16732.1
14018000 0.9 1 0 -6070.01 -3.82953 1.04293e+07 16924.1
14019000 0.9 1 0 -6167.68 -3.95679 1.26847e+07 16627.4
14020000 0.9 1 0 -6065.24 -3.77512 9.37731e+06 16671
14021000 0.9 1 0 -6099.73 -2.25134 719784 16487
14022000 0.9 1 0 -6076.83 -2.99811 2.59548e+06 16988.1
14023000 0.9 1 0 -6086.1 -2.42727 976802 16656.3
14024000 0.9 1 0 -6200.11 -2.28596 761904 16466.9
14025000 0.9 1 0 -6062.49 -3.36938 4.81506e+06 16906.7
14026000 0.9 1 0 -6055.51 -1.31701 154352 16947
14027000 0.9 1 0 -6123.13 -2.48994 1.08562e+06 16664.7
14028000 0.9 1 0 -6065.62 -0.747841 58985 16824.9
14029000 0.9 1 0 -6150.65 -3.17041 3.39597e+06 16648.3
14030000 0.9 1 0 -6100.02 -3.30437 4.19799e+06 16438.5
14031000 0.9 1 0 -6099.32 -2.94896 2.35261e+06 16721.8
14032000 0.9 1 0 -6128.53 -4.06845 1.51064e+07 16419.4
14033000 0.9 1 0 -6107.49 -3.23699 3.81739e+06 16736.9
14034000 0.9 1 0 -6112.77 -3.64462 7.45643e+06 16499.9
