# Time-averaged data for fix FEPout006
# TimeStep v_param v_param006 v_param2 v_pe c_FEP006[1] c_FEP006[2] c_FEP006[3]
44000000 0 0.7 0 -6103.31 246.677 3.31839e-176 16648.8
44001000 0 0.7 0 -6169.78 396.713 1.67878e-285 16749.3
44002000 0 0.7 0 -6090.76 419.473 4.42371e-302 16802.4
44003000 0 0.7 0 -6109.77 340.185 2.52912e-244 16683
44004000 0 0.7 0 -6092.16 343.05 2.02369e-246 16318.2
44005000 0 0.7 0 -6092.19 439.646 8.81319e-317 16609
44006000 0 0.7 0 -6088.67 356.317 4.46443e-256 16624.6
44007000 0 0.7 0 -6159.01 367.316 4.31844e-264 16573.9
44008000 0 0.7 0 -6092.72 303.565 1.18609e-217 16454.2
44009000 0 0.7 0 -6112.24 296.063 3.47499e-212 16527.6
44010000 0 0.7 0 -6145.05 302.972 3.18012e-217 16311.9
44011000 0 0.7 0 -6139.23 325.932 6.08064e-234 16589.5
44012000 0 0.7 0 -6134.59 249.288 4.16135e-178 16643.2
44013000 0 0.7 0 -6085.46 371.731 2.67345e-267 16865.4
44014000 0 0.7 0 -6136.41 277.9 5.84527e-199 16317.5
44015000 0 0.7 0 -6123.89 325.25 1.90198e-233 16551.4
44016000 0 0.7 0 -6101.71 280.489 7.64611e-201 16422.4
44017000 0 0.7 0 -6148.9 431.003 1.72152e-310 16390
44018000 0 0.7 0 -6097.87 298.179 9.98766e-214 16519.4
44019000 0 0.7 0 -6078.55 368.703 4.27074e-265 16764.5
44020000 0 0.7 0 -6074.09 339.617 6.54367e-244 16644.4
44021000 0 0.7 0 -6103.93 289.372 2.61728e-207 16635.5
44022000 0 0.7 0 -6110.58 302.857 3.92556e-217 16614.7
44023000 0 0.7 0 -6112.56 329.121 2.90739e-236 16719.4
44024000 0 0.7 0 -6100.78 298.055 1.24997e-213 16791.1
44025000 0 0.7 0 -6117.67 389.187 5.09711e-280 16750.4
44026000 0 0.7 0 -6193.72 280.967 3.49168e-201 16721.7
44027000 0 0.7 0 -6087.6 275.361 4.21023e-197 16609.7
44028000 0 0.7 0 -6045 353.753 3.31292e-254 16738.1
44029000 0 0.7 0 -6029.24 331.168 9.35204e-238 16645.6
44030000 0 0.7 0 -6005.42 275.798 2.01771e-197 16556.1
44031000 0 0.7 0 -6126.04 461.828 0 16325.4
44032000 0 0.7 0 -6196.12 235.107 8.79996e-168 16454
44033000 0 0.7 0 -6129.8 388.157 2.82812e-279 16510.9
44034000 0 0.7 0 -6157.06 364.739 3.30224e-262 16808.1
44035000 0 0.7 0 -6106.45 335.897 3.43147e-241 17035.8
44036000 0 0.7 0 -6168.98 400.544 2.70863e-288 16686.7
44037000 0 0.7 0 -6115.88 388.868 8.48575e-280 16316.4
44038000 0 0.7 0 -6133.98 372.36 9.11389e-268 16516.3
44039000 0 0.7 0 -6062.52 362.742 9.23671e-261 16500.5
44040000 0 0.7 0 -6070 372.877 3.85672e-268 16650.9
44041000 0 0.7 0 -6143.52 373.951 6.33536e-269 16560.2
44042000 0 0.7 0 -6121.07 397.65 3.47046e-286 16663.1
44043000 0 0.7 0 -6115.41 321.988 4.56218e-231 16684
44044000 0 0.7 0 -6130.86 419.312 5.65827e-302 16385.8
44045000 0 0.7 0 -6147.22 416.59 5.48143e-300 16533.5
44046000 0 0.7 0 -6032.1 346.432 7.09195e-249 16645.5
44047000 0 0.7 0 -6037.62 238.864 1.60846e-170 16416.2
44048000 0 0.7 0 -6024.44 383.206 1.1655e-275 16812.4
44049000 0 0.7 0 -6095.13 406.773 7.74791e-293 16465.4
44050000 0 0.7 0 -6175.82 429.02 4.80444e-309 16428.8
44051000 0 0.7 0 -6132.91 357.421 6.86598e-257 16303.6
44052000 0 0.7 0 -6173.64 442.743 4.78419e-319 16138.8
44053000 0 0.7 0 -6069.19 355.096 3.44138e-255 16543.4
44054000 0 0.7 0 -6116.37 342.262 7.66508e-246 16466.6
44055000 0 0.7 0 -6106.09 356.463 3.45685e-256 16449.3
44056000 0 0.7 0 -6123.67 317.699 5.97633e-228 16416.5
44057000 0 0.7 0 -6130.86 226.911 8.3324e-162 16678
44058000 0 0.7 0 -6138.29 289.581 1.84361e-207 16622.2
44059000 0 0.7 0 -6098.16 318.242 2.40001e-228 16380.8
44060000 0 0.7 0 -6062.05 256.304 3.21141e-183 16592.9
44061000 0 0.7 0 -6050.75 298.645 4.53159e-214 16376.4
44062000 0 0.7 0 -6117.41 389.517 2.95172e-280 16853.3
44063000 0 0.7 0 -6122.07 320.8 3.32347e-230 16575.6
44064000 0 0.7 0 -6165.97 293.393 3.07153e-210 16585.7
44065000 0 0.7 0 -6085.9 405.467 6.95144e-292 16541.5
44066000 0 0.7 0 -6147.85 401.288 7.64305e-289 16414.2
44067000 0 0.7 0 -6133.24 254.368 8.19632e-182 16470.2
44068000 0 0.7 0 -6085.48 328.324 1.10835e-235 16741.5
44069000 0 0.7 0 -6147.56 438.949 2.82096e-316 16516.3
44070000 0 0.7 0 -6127.8 192.037 2.07163e-136 16287
44071000 0 0.7 0 -6122.73 328.112 1.53889e-235 16284.4
44072000 0 0.7 0 -6058.92 112.201 3.03607e-78 16555.6
44073000 0 0.7 0 -6090.56 271.547 2.47941e-194 16304
44074000 0 0.7 0 -6046.99 358.437 1.28619e-257 16790.5
44075000 0 0.7 0 -6122.9 248.49 1.59856e-177 16779
44076000 0 0.7 0 -6149.35 235.699 3.2682e-168 16483.6
44077000 0 0.7 0 -6122.09 316.73 3.10566e-227 16781
44078000 0 0.7 0 -6131.77 425.746 1.17716e-306 16588.2
44079000 0 0.7 0 -6120.17 421.083 2.99149e-303 16908.2
44080000 0 0.7 0 -6125.98 344.538 1.71272e-247 16750.9
44081000 0 0.7 0 -6149.38 319.84 1.70347e-229 16980
44082000 0 0.7 0 -6135.22 429.097 4.2589e-309 16587.9
44083000 0 0.7 0 -6116.21 272.679 3.75529e-195 16484.8
44084000 0 0.7 0 -6118.84 423.561 4.51807e-305 16293.1
44085000 0 0.7 0 -6105.99 365.076 1.83204e-262 16409.1
44086000 0 0.7 0 -6097.18 404.409 4.09842e-291 16521.6
44087000 0 0.7 0 -6122.08 315.943 1.1542e-226 16660
44088000 0 0.7 0 -6134.07 289.869 1.11905e-207 16359.4
44089000 0 0.7 0 -6090.29 362.399 1.64164e-260 16493.9
44090000 0 0.7 0 -6162.44 401.901 2.75383e-289 16540.8
44091000 0 0.7 0 -6111.52 213.625 3.92296e-152 16449.5
44092000 0 0.7 0 -6080.97 376.074 1.79851e-270 16537.4
44093000 0 0.7 0 -6126.67 397.97 1.9756e-286 16233.4
44094000 0 0.7 0 -6093.26 242.353 4.66151e-173 16539.8
44095000 0 0.7 0 -6149.63 379.969 2.62595e-273 16620.2
44096000 0 0.7 0 -6132.06 378.436 3.42702e-272 16586.6
44097000 0 0.7 0 -6037.75 365.906 4.54582e-263 16375
44098000 0 0.7 0 -6129.61 263.099 3.64138e-188 16763.4
44099000 0 0.7 0 -6103.38 375.414 5.42004e-270 16487.1
44100000 0 0.7 0 -6193.46 339.197 1.28397e-243 16150
44101000 0 0.7 0 -6173.35 353.543 4.63232e-254 16459.2
44102000 0 0.7 0 -6176.95 268.638 3.26539e-192 16295.9
44103000 0 0.7 0 -6119.31 335.944 3.11625e-241 16721.9
44104000 0 0.7 0 -6115.82 381.182 3.39143e-274 16429.1
44105000 0 0.7 0 -6051.96 300.633 1.64451e-215 16682.7
44106000 0 0.7 0 -6043.27 342.094 1.0366e-245 16810.8
44107000 0 0.7 0 -6080.54 427.574 5.58653e-308 16893.8
44108000 0 0.7 0 -6066 331.05 1.14833e-237 16786
44109000 0 0.7 0 -6113.59 401.858 2.96838e-289 16588.8
44110000 0 0.7 0 -6076.96 428.614 9.56995e-309 16583.6
44111000 0 0.7 0 -6056.62 421.416 1.68703e-303 16673.3
44112000 0 0.7 0 -6117.8 405.321 8.99693e-292 16742.7
44113000 0 0.7 0 -6072.87 368.163 1.0559e-264 16762
44114000 0 0.7 0 -6067.94 356.036 7.08672e-256 16481
44115000 0 0.7 0 -6099.65 309.181 9.66319e-222 16541.3
44116000 0 0.7 0 -6065.46 341.033 6.02517e-245 16470
44117000 0 0.7 0 -6099.74 276.401 7.36615e-198 16622.5
44118000 0 0.7 0 -6154.14 426.086 6.66474e-307 16605.9
44119000 0 0.7 0 -6090.26 377.663 1.27203e-271 16830.5
44120000 0 0.7 0 -6094.87 304.231 3.97947e-218 16878.5
44121000 0 0.7 0 -6104.67 307.677 1.20932e-220 16604
44122000 0 0.7 0 -6073.76 434.057 1.02132e-312 16320.9
44123000 0 0.7 0 -6082.06 258.92 4.00008e-185 16628.8
44124000 0 0.7 0 -6085.13 353.461 5.35491e-254 16561.9
44125000 0 0.7 0 -6096.87 459.102 0 16457.9
44126000 0 0.7 0 -6147.76 243.036 1.45642e-173 16267.8
44127000 0 0.7 0 -6025.73 368.427 6.66634e-265 16483.4
44128000 0 0.7 0 -6177.22 265.51 6.28467e-190 16521
