# Time-averaged data for fix FEPout015
# TimeStep v_param v_param015 v_param2 v_pe c_FEP015[1] c_FEP015[2] c_FEP015[3]
44000000 0 0 0 -6103.31 0 16648.8 16648.8
44001000 0 0 0 -6169.78 0 16749.3 16749.3
44002000 0 0 0 -6090.76 0 16802.4 16802.4
44003000 0 0 0 -6109.77 0 16683 16683
44004000 0 0 0 -6092.16 0 16318.2 16318.2
44005000 0 0 0 -6092.19 0 16609 16609
44006000 0 0 0 -6088.67 0 16624.6 16624.6
44007000 0 0 0 -6159.01 0 16573.9 16573.9
44008000 0 0 0 -6092.72 0 16454.2 16454.2
44009000 0 0 0 -6112.24 0 16527.6 16527.6
44010000 0 0 0 -6145.05 0 16311.9 16311.9
44011000 0 0 0 -6139.23 0 16589.5 16589.5
44012000 0 0 0 -6134.59 0 16643.2 16643.2
44013000 0 0 0 -6085.46 0 16865.4 16865.4
44014000 0 0 0 -6136.41 0 16317.5 16317.5
44015000 0 0 0 -6123.89 0 16551.4 16551.4
44016000 0 0 0 -6101.71 0 16422.4 16422.4
44017000 0 0 0 -6148.9 0 16390 16390
44018000 0 0 0 -6097.87 0 16519.4 16519.4
44019000 0 0 0 -6078.55 0 16764.5 16764.5
44020000 0 0 0 -6074.09 0 16644.4 16644.4
44021000 0 0 0 -6103.93 0 16635.5 16635.5
44022000 0 0 0 -6110.58 0 16614.7 16614.7
44023000 0 0 0 -6112.56 0 16719.4 16719.4
44024000 0 0 0 -6100.78 0 16791.1 16791.1
44025000 0 0 0 -6117.67 0 16750.4 16750.4
44026000 0 0 0 -6193.72 0 16721.7 16721.7
44027000 0 0 0 -6087.6 0 16609.7 16609.7
44028000 0 0 0 -6045 0 16738.1 16738.1
44029000 0 0 0 -6029.24 0 16645.6 16645.6
44030000 0 0 0 -6005.42 0 16556.1 16556.1
44031000 0 0 0 -6126.04 0 16325.4 16325.4
44032000 0 0 0 -6196.12 0 16454 16454
44033000 0 0 0 -6129.8 0 16510.9 16510.9
44034000 0 0 0 -6157.06 0 16808.1 16808.1
44035000 0 0 0 -6106.45 0 17035.8 17035.8
44036000 0 0 0 -6168.98 0 16686.7 16686.7
44037000 0 0 0 -6115.88 0 16316.4 16316.4
44038000 0 0 0 -6133.98 0 16516.3 16516.3
44039000 0 0 0 -6062.52 0 16500.5 16500.5
44040000 0 0 0 -6070 0 16650.9 16650.9
44041000 0 0 0 -6143.52 0 16560.2 16560.2
44042000 0 0 0 -6121.07 0 16663.1 16663.1
44043000 0 0 0 -6115.41 0 16684 16684
44044000 0 0 0 -6130.86 0 16385.8 16385.8
44045000 0 0 0 -6147.22 0 16533.5 16533.5
44046000 0 0 0 -6032.1 0 16645.5 16645.5
44047000 0 0 0 -6037.62 0 16416.2 16416.2
44048000 0 0 0 -6024.44 0 16812.4 16812.4
44049000 0 0 0 -6095.13 0 16465.4 16465.4
44050000 0 0 0 -6175.82 0 16428.8 16428.8
44051000 0 0 0 -6132.91 0 16303.6 16303.6
44052000 0 0 0 -6173.64 0 16138.8 16138.8
44053000 0 0 0 -6069.19 0 16543.4 16543.4
44054000 0 0 0 -6116.37 0 16466.6 16466.6
44055000 0 0 0 -6106.09 0 16449.3 16449.3
44056000 0 0 0 -6123.67 0 16416.5 16416.5
44057000 0 0 0 -6130.86 0 16678 16678
44058000 0 0 0 -6138.29 0 16622.2 16622.2
44059000 0 0 0 -6098.16 0 16380.8 16380.8
44060000 0 0 0 -6062.05 0 16592.9 16592.9
44061000 0 0 0 -6050.75 0 16376.4 16376.4
44062000 0 0 0 -6117.41 0 16853.3 16853.3
44063000 0 0 0 -6122.07 0 16575.6 16575.6
44064000 0 0 0 -6165.97 0 16585.7 16585.7
44065000 0 0 0 -6085.9 0 16541.5 16541.5
44066000 0 0 0 -6147.85 0 16414.2 16414.2
44067000 0 0 0 -6133.24 0 16470.2 16470.2
44068000 0 0 0 -6085.48 0 16741.5 16741.5
44069000 0 0 0 -6147.56 0 16516.3 16516.3
44070000 0 0 0 -6127.8 0 16287 16287
44071000 0 0 0 -6122.73 0 16284.4 16284.4
44072000 0 0 0 -6058.92 0 16555.6 16555.6
44073000 0 0 0 -6090.56 0 16304 16304
44074000 0 0 0 -6046.99 0 16790.5 16790.5
44075000 0 0 0 -6122.9 0 16779 16779
44076000 0 0 0 -6149.35 0 16483.6 16483.6
44077000 0 0 0 -6122.09 0 16781 16781
44078000 0 0 0 -6131.77 0 16588.2 16588.2
44079000 0 0 0 -6120.17 0 16908.2 16908.2
44080000 0 0 0 -6125.98 0 16750.9 16750.9
44081000 0 0 0 -6149.38 0 16980 16980
44082000 0 0 0 -6135.22 0 16587.9 16587.9
44083000 0 0 0 -6116.21 0 16484.8 16484.8
44084000 0 0 0 -6118.84 0 16293.1 16293.1
44085000 0 0 0 -6105.99 0 16409.1 16409.1
44086000 0 0 0 -6097.18 0 16521.6 16521.6
44087000 0 0 0 -6122.08 0 16660 16660
44088000 0 0 0 -6134.07 0 16359.4 16359.4
44089000 0 0 0 -6090.29 0 16493.9 16493.9
44090000 0 0 0 -6162.44 0 16540.8 16540.8
44091000 0 0 0 -6111.52 0 16449.5 16449.5
44092000 0 0 0 -6080.97 0 16537.4 16537.4
44093000 0 0 0 -6126.67 0 16233.4 16233.4
44094000 0 0 0 -6093.26 0 16539.8 16539.8
44095000 0 0 0 -6149.63 0 16620.2 16620.2
44096000 0 0 0 -6132.06 0 16586.6 16586.6
44097000 0 0 0 -6037.75 0 16375 16375
44098000 0 0 0 -6129.61 0 16763.4 16763.4
44099000 0 0 0 -6103.38 0 16487.1 16487.1
44100000 0 0 0 -6193.46 0 16150 16150
44101000 0 0 0 -6173.35 0 16459.2 16459.2
44102000 0 0 0 -6176.95 0 16295.9 16295.9
44103000 0 0 0 -6119.31 0 16721.9 16721.9
44104000 0 0 0 -6115.82 0 16429.1 16429.1
44105000 0 0 0 -6051.96 0 16682.7 16682.7
44106000 0 0 0 -6043.27 0 16810.8 16810.8
44107000 0 0 0 -6080.54 0 16893.8 16893.8
44108000 0 0 0 -6066 0 16786 16786
44109000 0 0 0 -6113.59 0 16588.8 16588.8
44110000 0 0 0 -6076.96 0 16583.6 16583.6
44111000 0 0 0 -6056.62 0 16673.3 16673.3
44112000 0 0 0 -6117.8 0 16742.7 16742.7
44113000 0 0 0 -6072.87 0 16762 16762
44114000 0 0 0 -6067.94 0 16481 16481
44115000 0 0 0 -6099.65 0 16541.3 16541.3
44116000 0 0 0 -6065.46 0 16470 16470
44117000 0 0 0 -6099.74 0 16622.5 16622.5
44118000 0 0 0 -6154.14 0 16605.9 16605.9
44119000 0 0 0 -6090.26 0 16830.5 16830.5
44120000 0 0 0 -6094.87 0 16878.5 16878.5
44121000 0 0 0 -6104.67 0 16604 16604
44122000 0 0 0 -6073.76 0 16320.9 16320.9
44123000 0 0 0 -6082.06 0 16628.8 16628.8
44124000 0 0 0 -6085.13 0 16561.9 16561.9
44125000 0 0 0 -6096.87 0 16457.9 16457.9
44126000 0 0 0 -6147.76 0 16267.8 16267.8
44127000 0 0 0 -6025.73 0 16483.4 16483.4
44128000 0 0 0 -6177.22 0 16521 16521
44129000 0 0 0 -6148.62 0 16511.4 16511.4
44130000 0 0 0 -6090.64 0 16733.5 16733.5
44131000 0 0 0 -6121.72 0 16665.6 16665.6
44132000 0 0 0 -6100.47 0 16371.2 16371.2
44133000 0 0 0 -6169.05 0 16441.8 16441.8
44134000 0 0 0 -6106.9 0 16674.9 16674.9
44135000 0 0 0 -6106.14 0 16616.9 16616.9
44136000 0 0 0 -6125.21 0 16168.2 16168.2
44137000 0 0 0 -6080.72 0 16598.2 16598.2
44138000 0 0 0 -6185.13 0 16443.1 16443.1
44139000 0 0 0 -6131.38 0 16487.7 16487.7
44140000 0 0 0 -6069.43 0 16555.2 16555.2
44141000 0 0 0 -6071.16 0 16486.7 16486.7
44142000 0 0 0 -6096.03 0 16842.3 16842.3
44143000 0 0 0 -6161.63 0 16433.9 16433.9
44144000 0 0 0 -6117.38 0 16599.4 16599.4
44145000 0 0 0 -6142.13 0 16649.7 16649.7
44146000 0 0 0 -6111.48 0 16510.3 16510.3
44147000 0 0 0 -6082.99 0 16744.3 16744.3
44148000 0 0 0 -6119.05 0 16552.2 16552.2
44149000 0 0 0 -6123.44 0 16551.4 16551.4
44150000 0 0 0 -6078.65 0 16432.2 16432.2
44151000 0 0 0 -6171.47 0 16219.4 16219.4
44152000 0 0 0 -6088.33 0 16488 16488
44153000 0 0 0 -6088.83 0 16616 16616
44154000 0 0 0 -6135.65 0 16530.2 16530.2
44155000 0 0 0 -6082.91 0 16410.5 16410.5
44156000 0 0 0 -6124.66 0 16582.5 16582.5
44157000 0 0 0 -6055.81 0 16740.8 16740.8
44158000 0 0 0 -6116.47 0 16539 16539
44159000 0 0 0 -6113.97 0 16599.8 16599.8
44160000 0 0 0 -6142.27 0 16583.8 16583.8
44161000 0 0 0 -6086.98 0 16763.9 16763.9
44162000 0 0 0 -6159.84 0 16721.2 16721.2
44163000 0 0 0 -6087.44 0 17334 17334
44164000 0 0 0 -6051.22 0 16514.6 16514.6
44165000 0 0 0 -6014.91 0 16482.8 16482.8
44166000 0 0 0 -6061.42 0 16681.8 16681.8
44167000 0 0 0 -6120.69 0 16388.3 16388.3
44168000 0 0 0 -6086.82 0 16384.4 16384.4
44169000 0 0 0 -6105.56 0 16741.6 16741.6
44170000 0 0 0 -6118.36 0 16774.8 16774.8
44171000 0 0 0 -6119.07 0 16383.6 16383.6
44172000 0 0 0 -6096.51 0 16477.2 16477.2
44173000 0 0 0 -6094.15 0 16643.5 16643.5
44174000 0 0 0 -6071.7 0 16558 16558
44175000 0 0 0 -6111.47 0 16860.8 16860.8
44176000 0 0 0 -6091.71 0 16517.8 16517.8
44177000 0 0 0 -6123.81 0 16771.9 16771.9
44178000 0 0 0 -6092.9 0 16477.4 16477.4
44179000 0 0 0 -6086.85 0 16551.2 16551.2
44180000 0 0 0 -6002.16 0 16590.4 16590.4
44181000 0 0 0 -6081.86 0 16734.8 16734.8
44182000 0 0 0 -6062.42 0 16708.5 16708.5
44183000 0 0 0 -6053.03 0 16870.8 16870.8
44184000 0 0 0 -6078.42 0 16683 16683
44185000 0 0 0 -6077.88 0 16685.8 16685.8
44186000 0 0 0 -6157.63 0 16471.6 16471.6
44187000 0 0 0 -6100.71 0 16921.2 16921.2
44188000 0 0 0 -6107.94 0 16855 16855
44189000 0 0 0 -6092.72 0 16577.4 16577.4
44190000 0 0 0 -6113.36 0 16774.7 16774.7
44191000 0 0 0 -6080.01 0 17017.1 17017.1
44192000 0 0 0 -6064.38 0 16597.7 16597.7
44193000 0 0 0 -6021.5 0 16771.9 16771.9
44194000 0 0 0 -6069.68 0 16662.1 16662.1
44195000 0 0 0 -6114.02 0 16544.8 16544.8
44196000 0 0 0 -6114.64 0 16892.8 16892.8
44197000 0 0 0 -6070.27 0 16536.3 16536.3
44198000 0 0 0 -6136.5 0 16652 16652
44199000 0 0 0 -6119.21 0 16441.9 16441.9
44200000 0 0 0 -6055.22 0 16428.4 16428.4
44201000 0 0 0 -6078.81 0 16448.5 16448.5
44202000 0 0 0 -6089.6 0 16524.7 16524.7
44203000 0 0 0 -6054.32 0 16388.9 16388.9
44204000 0 0 0 -6154.08 0 16527 16527
44205000 0 0 0 -6147.93 0 16351.6 16351.6
44206000 0 0 0 -6145.74 0 16726.2 16726.2
44207000 0 0 0 -6148.16 0 16451.5 16451.5
44208000 0 0 0 -6184.06 0 16411.2 16411.2
44209000 0 0 0 -6098.57 0 16790 16790
44210000 0 0 0 -6102.84 0 16818.7 16818.7
44211000 0 0 0 -6136.47 0 16652.6 16652.6
44212000 0 0 0 -6085.1 0 16575.4 16575.4
44213000 0 0 0 -6092.73 0 16637.8 16637.8
44214000 0 0 0 -6113.05 0 16698.7 16698.7
44215000 0 0 0 -6135.79 0 16546.9 16546.9
44216000 0 0 0 -6075.67 0 16693.3 16693.3
44217000 0 0 0 -6151.84 0 16741.5 16741.5
44218000 0 0 0 -6122.89 0 16775.8 16775.8
44219000 0 0 0 -6132.53 0 16612.4 16612.4
44220000 0 0 0 -6049.98 0 16664.8 16664.8
44221000 0 0 0 -6072.47 0 16428.4 16428.4
44222000 0 0 0 -6070.19 0 16701.7 16701.7
44223000 0 0 0 -6147.55 0 16540.4 16540.4
44224000 0 0 0 -6142.29 0 16668.2 16668.2
44225000 0 0 0 -6093.7 0 16414.1 16414.1
44226000 0 0 0 -6121.51 0 16407.2 16407.2
44227000 0 0 0 -6088.71 0 16520.7 16520.7
44228000 0 0 0 -6109.75 0 16587.4 16587.4
44229000 0 0 0 -6087.36 0 16966.3 16966.3
44230000 0 0 0 -6190.44 0 16442.5 16442.5
44231000 0 0 0 -6133.39 0 16315.3 16315.3
44232000 0 0 0 -6082.82 0 16523 16523
44233000 0 0 0 -6183.57 0 16765.6 16765.6
44234000 0 0 0 -6144 0 16897.6 16897.6
44235000 0 0 0 -6064.89 0 16801.5 16801.5
44236000 0 0 0 -6138.96 0 16369 16369
44237000 0 0 0 -6086.99 0 16712.4 16712.4
44238000 0 0 0 -6136.02 0 16604.9 16604.9
44239000 0 0 0 -6072.21 0 16613.1 16613.1
44240000 0 0 0 -6041.56 0 16883 16883
44241000 0 0 0 -6118.96 0 16604.9 16604.9
44242000 0 0 0 -6053.5 0 16744.4 16744.4
44243000 0 0 0 -6087.14 0 16593.9 16593.9
44244000 0 0 0 -6054.77 0 16841.4 16841.4
44245000 0 0 0 -6007.39 0 16179.6 16179.6
44246000 0 0 0 -6124.71 0 16538.8 16538.8
44247000 0 0 0 -6026.27 0 16495.4 16495.4
44248000 0 0 0 -6124.27 0 16478.4 16478.4
44249000 0 0 0 -6120.83 0 16588.6 16588.6
44250000 0 0 0 -6104.51 0 16865.2 16865.2
44251000 0 0 0 -6070.36 0 16542.8 16542.8
44252000 0 0 0 -6068.73 0 16648.8 16648.8
44253000 0 0 0 -6166.75 0 16710.6 16710.6
44254000 0 0 0 -6177.68 0 16531.7 16531.7
44255000 0 0 0 -6099.07 0 16455.1 16455.1
44256000 0 0 0 -6138.28 0 16480.1 16480.1
44257000 0 0 0 -6067.25 0 16800.3 16800.3
44258000 0 0 0 -6058.57 0 16943.3 16943.3
44259000 0 0 0 -6106.77 0 16705.7 16705.7
44260000 0 0 0 -6074.93 0 16784 16784
44261000 0 0 0 -6086.91 0 16490.9 16490.9
44262000 0 0 0 -5990.41 0 16788.4 16788.4
44263000 0 0 0 -6120.51 0 16428.9 16428.9
44264000 0 0 0 -6106.3 0 16546.1 16546.1
44265000 0 0 0 -6133.9 0 16585.9 16585.9
44266000 0 0 0 -6105.21 0 16563.7 16563.7
44267000 0 0 0 -6119.16 0 16824.4 16824.4
44268000 0 0 0 -6102.62 0 16672 16672
44269000 0 0 0 -6123.89 0 16184 16184
44270000 0 0 0 -6082.73 0 16429.6 16429.6
44271000 0 0 0 -6087.75 0 16474 16474
44272000 0 0 0 -6078.49 0 16481.9 16481.9
44273000 0 0 0 -6117.28 0 16748.3 16748.3
44274000 0 0 0 -6143.48 0 16873.3 16873.3
44275000 0 0 0 -6119.3 0 16799.4 16799.4
44276000 0 0 0 -6010.59 0 16843.3 16843.3
44277000 0 0 0 -6068.1 0 16728.1 16728.1
44278000 0 0 0 -6061.46 0 16716.8 16716.8
44279000 0 0 0 -6086.49 0 16699.9 16699.9
44280000 0 0 0 -6101.73 0 16770.7 16770.7
44281000 0 0 0 -6116.99 0 16563.1 16563.1
44282000 0 0 0 -6049.26 0 17121 17121
44283000 0 0 0 -6029.8 0 16428.2 16428.2
44284000 0 0 0 -6102.78 0 16626.8 16626.8
44285000 0 0 0 -6088.01 0 16359.6 16359.6
44286000 0 0 0 -6033.82 0 16575.3 16575.3
44287000 0 0 0 -6139.6 0 16503.7 16503.7
44288000 0 0 0 -6091.83 0 16624.3 16624.3
44289000 0 0 0 -6035.31 0 16650.9 16650.9
44290000 0 0 0 -6064.08 0 16361.5 16361.5
44291000 0 0 0 -6072.8 0 16610.7 16610.7
44292000 0 0 0 -6110.67 0 16778.9 16778.9
44293000 0 0 0 -6051.48 0 17053.3 17053.3
44294000 0 0 0 -6078.57 0 16775.3 16775.3
44295000 0 0 0 -6128.93 0 16588.4 16588.4
44296000 0 0 0 -6089.19 0 16429.2 16429.2
44297000 0 0 0 -6067.73 0 16409.1 16409.1
44298000 0 0 0 -6048.9 0 16286.8 16286.8
44299000 0 0 0 -6107.93 0 16100.8 16100.8
44300000 0 0 0 -6069.48 0 16424.4 16424.4
44301000 0 0 0 -6083.66 0 16555.7 16555.7
44302000 0 0 0 -6077.24 0 16237.8 16237.8
44303000 0 0 0 -6131.2 0 15829.9 15829.9
44304000 0 0 0 -6077.14 0 16461.7 16461.7
44305000 0 0 0 -6109.37 0 16337.7 16337.7
44306000 0 0 0 -6148.21 0 16453.8 16453.8
44307000 0 0 0 -6124.46 0 16336 16336
44308000 0 0 0 -6125.02 0 16320.4 16320.4
44309000 0 0 0 -6158.72 0 16538.3 16538.3
44310000 0 0 0 -6078.12 0 16442 16442
44311000 0 0 0 -6179.16 0 16362.2 16362.2
44312000 0 0 0 -6105.91 0 16334.4 16334.4
44313000 0 0 0 -6090.53 0 16542.3 16542.3
44314000 0 0 0 -6070.78 0 16392.2 16392.2
44315000 0 0 0 -6081.23 0 16597.3 16597.3
44316000 0 0 0 -6118.11 0 16777.1 16777.1
44317000 0 0 0 -6107.11 0 16555 16555
44318000 0 0 0 -6077.95 0 16711.9 16711.9
44319000 0 0 0 -6078.62 0 16612.3 16612.3
44320000 0 0 0 -6077.69 0 16458.8 16458.8
44321000 0 0 0 -6065.76 0 16699 16699
44322000 0 0 0 -6083.54 0 16558.7 16558.7
44323000 0 0 0 -6041.41 0 16403.8 16403.8
44324000 0 0 0 -6004.64 0 16536.1 16536.1
44325000 0 0 0 -6132.29 0 16387.2 16387.2
