# Time-averaged data for fix FEPout000
# TimeStep v_param v_param000 v_param2 v_pe c_FEP000[1] c_FEP000[2] c_FEP000[3]
44000000 0 1 0 -6103.31 1.06021e+07 0 16648.8
44001000 0 1 0 -6169.78 461170 0 16749.3
44002000 0 1 0 -6090.76 2.93002e+08 0 16802.4
44003000 0 1 0 -6109.77 320390 0 16683
44004000 0 1 0 -6092.16 1.01454e+12 0 16318.2
44005000 0 1 0 -6092.19 3.81862e+10 0 16609
44006000 0 1 0 -6088.67 6.45418e+08 0 16624.6
44007000 0 1 0 -6159.01 3.93983e+09 0 16573.9
44008000 0 1 0 -6092.72 1.05652e+06 0 16454.2
44009000 0 1 0 -6112.24 1.16851e+07 0 16527.6
44010000 0 1 0 -6145.05 1.04862e+07 0 16311.9
44011000 0 1 0 -6139.23 2.08754e+06 0 16589.5
44012000 0 1 0 -6134.59 3.85748e+06 0 16643.2
44013000 0 1 0 -6085.46 2.53808e+10 0 16865.4
44014000 0 1 0 -6136.41 9.77643e+07 0 16317.5
44015000 0 1 0 -6123.89 2.35792e+06 0 16551.4
44016000 0 1 0 -6101.71 2.73751e+07 0 16422.4
44017000 0 1 0 -6148.9 7.68193e+09 0 16390
44018000 0 1 0 -6097.87 5.45481e+07 0 16519.4
44019000 0 1 0 -6078.55 1.71786e+08 0 16764.5
44020000 0 1 0 -6074.09 9.24819e+06 0 16644.4
44021000 0 1 0 -6103.93 5.64465e+07 0 16635.5
44022000 0 1 0 -6110.58 3.68364e+09 0 16614.7
44023000 0 1 0 -6112.56 137291 0 16719.4
44024000 0 1 0 -6100.78 1.84186e+06 0 16791.1
44025000 0 1 0 -6117.67 1.96884e+09 0 16750.4
44026000 0 1 0 -6193.72 1.22247e+08 0 16721.7
44027000 0 1 0 -6087.6 292907 0 16609.7
44028000 0 1 0 -6045 4.38693e+10 0 16738.1
44029000 0 1 0 -6029.24 7.75859e+06 0 16645.6
44030000 0 1 0 -6005.42 911306 0 16556.1
44031000 0 1 0 -6126.04 3.45965e+08 0 16325.4
44032000 0 1 0 -6196.12 5.3957e+10 0 16454
44033000 0 1 0 -6129.8 9.24118e+06 0 16510.9
44034000 0 1 0 -6157.06 1.03172e+09 0 16808.1
44035000 0 1 0 -6106.45 3.79943e+06 0 17035.8
44036000 0 1 0 -6168.98 1.11762e+06 0 16686.7
44037000 0 1 0 -6115.88 191477 0 16316.4
44038000 0 1 0 -6133.98 8.04907e+11 0 16516.3
44039000 0 1 0 -6062.52 1.11036e+09 0 16500.5
44040000 0 1 0 -6070 4.46886e+06 0 16650.9
44041000 0 1 0 -6143.52 3.26068e+08 0 16560.2
44042000 0 1 0 -6121.07 4.57823e+07 0 16663.1
44043000 0 1 0 -6115.41 8.52722e+08 0 16684
44044000 0 1 0 -6130.86 199683 0 16385.8
44045000 0 1 0 -6147.22 542480 0 16533.5
44046000 0 1 0 -6032.1 3.17453e+09 0 16645.5
44047000 0 1 0 -6037.62 121750 0 16416.2
44048000 0 1 0 -6024.44 5.31272e+09 0 16812.4
44049000 0 1 0 -6095.13 2.13873e+07 0 16465.4
44050000 0 1 0 -6175.82 2.33783e+06 0 16428.8
44051000 0 1 0 -6132.91 3.10601e+06 0 16303.6
44052000 0 1 0 -6173.64 1.02883e+07 0 16138.8
44053000 0 1 0 -6069.19 1.60843e+08 0 16543.4
44054000 0 1 0 -6116.37 400414 0 16466.6
44055000 0 1 0 -6106.09 1.69232e+09 0 16449.3
44056000 0 1 0 -6123.67 1.02186e+06 0 16416.5
44057000 0 1 0 -6130.86 24206.3 0 16678
44058000 0 1 0 -6138.29 6.60709e+12 0 16622.2
44059000 0 1 0 -6098.16 648834 0 16380.8
44060000 0 1 0 -6062.05 172707 0 16592.9
44061000 0 1 0 -6050.75 2.05417e+08 0 16376.4
44062000 0 1 0 -6117.41 3.97898e+06 0 16853.3
44063000 0 1 0 -6122.07 613138 0 16575.6
44064000 0 1 0 -6165.97 912107 0 16585.7
44065000 0 1 0 -6085.9 5.68069e+08 0 16541.5
44066000 0 1 0 -6147.85 6.4407e+07 0 16414.2
44067000 0 1 0 -6133.24 4.24517e+09 0 16470.2
44068000 0 1 0 -6085.48 506582 0 16741.5
44069000 0 1 0 -6147.56 4.19555e+06 0 16516.3
44070000 0 1 0 -6127.8 1.35883e+08 0 16287
44071000 0 1 0 -6122.73 1.17535e+06 0 16284.4
44072000 0 1 0 -6058.92 3031.46 0 16555.6
44073000 0 1 0 -6090.56 739120 0 16304
44074000 0 1 0 -6046.99 4.91669e+08 0 16790.5
44075000 0 1 0 -6122.9 5.32469e+08 0 16779
44076000 0 1 0 -6149.35 4.73354e+10 0 16483.6
44077000 0 1 0 -6122.09 2.68335e+08 0 16781
44078000 0 1 0 -6131.77 1.20673e+07 0 16588.2
44079000 0 1 0 -6120.17 1.59201e+07 0 16908.2
44080000 0 1 0 -6125.98 539008 0 16750.9
44081000 0 1 0 -6149.38 8.58235e+10 0 16980
44082000 0 1 0 -6135.22 7.8798e+07 0 16587.9
44083000 0 1 0 -6116.21 43892.9 0 16484.8
44084000 0 1 0 -6118.84 6.83337e+06 0 16293.1
44085000 0 1 0 -6105.99 3.87377e+08 0 16409.1
44086000 0 1 0 -6097.18 1.39399e+07 0 16521.6
44087000 0 1 0 -6122.08 3.27817e+07 0 16660
44088000 0 1 0 -6134.07 1.63123e+06 0 16359.4
44089000 0 1 0 -6090.29 467563 0 16493.9
44090000 0 1 0 -6162.44 2.54228e+08 0 16540.8
44091000 0 1 0 -6111.52 146121 0 16449.5
44092000 0 1 0 -6080.97 7.54406e+07 0 16537.4
44093000 0 1 0 -6126.67 542782 0 16233.4
44094000 0 1 0 -6093.26 21424.9 0 16539.8
44095000 0 1 0 -6149.63 1.61354e+08 0 16620.2
44096000 0 1 0 -6132.06 9.0752e+07 0 16586.6
44097000 0 1 0 -6037.75 2.97796e+06 0 16375
44098000 0 1 0 -6129.61 28567.1 0 16763.4
44099000 0 1 0 -6103.38 2.67046e+07 0 16487.1
44100000 0 1 0 -6193.46 6.4898e+10 0 16150
44101000 0 1 0 -6173.35 7.73615e+07 0 16459.2
44102000 0 1 0 -6176.95 3.36668e+06 0 16295.9
44103000 0 1 0 -6119.31 3.89313e+06 0 16721.9
44104000 0 1 0 -6115.82 1.04323e+07 0 16429.1
44105000 0 1 0 -6051.96 178926 0 16682.7
44106000 0 1 0 -6043.27 1.08158e+06 0 16810.8
44107000 0 1 0 -6080.54 4.14e+08 0 16893.8
44108000 0 1 0 -6066 6.43425e+06 0 16786
44109000 0 1 0 -6113.59 1.66594e+07 0 16588.8
44110000 0 1 0 -6076.96 3.26907e+07 0 16583.6
44111000 0 1 0 -6056.62 908629 0 16673.3
44112000 0 1 0 -6117.8 1.26187e+11 0 16742.7
44113000 0 1 0 -6072.87 1.30712e+06 0 16762
44114000 0 1 0 -6067.94 5.10907e+07 0 16481
44115000 0 1 0 -6099.65 585367 0 16541.3
44116000 0 1 0 -6065.46 5.92907e+06 0 16470
44117000 0 1 0 -6099.74 1.4303e+07 0 16622.5
44118000 0 1 0 -6154.14 2.79743e+07 0 16605.9
44119000 0 1 0 -6090.26 1.62733e+06 0 16830.5
44120000 0 1 0 -6094.87 275516 0 16878.5
44121000 0 1 0 -6104.67 2.14363e+07 0 16604
44122000 0 1 0 -6073.76 1.85816e+12 0 16320.9
44123000 0 1 0 -6082.06 4.13751e+07 0 16628.8
44124000 0 1 0 -6085.13 1.10739e+06 0 16561.9
44125000 0 1 0 -6096.87 652903 0 16457.9
44126000 0 1 0 -6147.76 104036 0 16267.8
44127000 0 1 0 -6025.73 1.60389e+10 0 16483.4
44128000 0 1 0 -6177.22 1.13222e+07 0 16521
44129000 0 1 0 -6148.62 6.91325e+09 0 16511.4
44130000 0 1 0 -6090.64 9.53178e+06 0 16733.5
44131000 0 1 0 -6121.72 3.49473e+06 0 16665.6
44132000 0 1 0 -6100.47 4.23242e+07 0 16371.2
44133000 0 1 0 -6169.05 3.34678e+07 0 16441.8
44134000 0 1 0 -6106.9 46410.6 0 16674.9
44135000 0 1 0 -6106.14 4.41637e+12 0 16616.9
44136000 0 1 0 -6125.21 40542 0 16168.2
44137000 0 1 0 -6080.72 350788 0 16598.2
44138000 0 1 0 -6185.13 505666 0 16443.1
44139000 0 1 0 -6131.38 2.26116e+06 0 16487.7
44140000 0 1 0 -6069.43 297413 0 16555.2
44141000 0 1 0 -6071.16 4.99792e+06 0 16486.7
44142000 0 1 0 -6096.03 1.63085e+09 0 16842.3
44143000 0 1 0 -6161.63 6.52399e+06 0 16433.9
44144000 0 1 0 -6117.38 5.23219e+06 0 16599.4
44145000 0 1 0 -6142.13 7.76769e+08 0 16649.7
44146000 0 1 0 -6111.48 9.30803e+06 0 16510.3
44147000 0 1 0 -6082.99 232551 0 16744.3
44148000 0 1 0 -6119.05 6.93542e+10 0 16552.2
44149000 0 1 0 -6123.44 2.95798e+07 0 16551.4
44150000 0 1 0 -6078.65 2.22356e+07 0 16432.2
44151000 0 1 0 -6171.47 1.58595e+06 0 16219.4
44152000 0 1 0 -6088.33 7.39565e+08 0 16488
44153000 0 1 0 -6088.83 2.63101e+06 0 16616
44154000 0 1 0 -6135.65 6.10066e+11 0 16530.2
44155000 0 1 0 -6082.91 3.58664e+09 0 16410.5
44156000 0 1 0 -6124.66 2.1757e+09 0 16582.5
44157000 0 1 0 -6055.81 130997 0 16740.8
44158000 0 1 0 -6116.47 4.36472e+06 0 16539
44159000 0 1 0 -6113.97 29313 0 16599.8
44160000 0 1 0 -6142.27 5.79163e+07 0 16583.8
44161000 0 1 0 -6086.98 1.21024e+07 0 16763.9
44162000 0 1 0 -6159.84 4.76263e+07 0 16721.2
44163000 0 1 0 -6087.44 2.43753e+06 0 17334
44164000 0 1 0 -6051.22 1.04177e+12 0 16514.6
44165000 0 1 0 -6014.91 330165 0 16482.8
44166000 0 1 0 -6061.42 1.20874e+09 0 16681.8
44167000 0 1 0 -6120.69 201855 0 16388.3
44168000 0 1 0 -6086.82 3.9335e+07 0 16384.4
44169000 0 1 0 -6105.56 3.44342e+08 0 16741.6
44170000 0 1 0 -6118.36 2.10737e+08 0 16774.8
44171000 0 1 0 -6119.07 307533 0 16383.6
44172000 0 1 0 -6096.51 7.31805e+08 0 16477.2
44173000 0 1 0 -6094.15 1.33717e+07 0 16643.5
44174000 0 1 0 -6071.7 55547.2 0 16558
44175000 0 1 0 -6111.47 7.28582e+06 0 16860.8
