# Time-averaged data for fix FEPout004
# TimeStep v_param v_param004 v_param2 v_pe c_FEP004[1] c_FEP004[2] c_FEP004[3]
0 1 0.8 0 -6049.71 6.42478 0.352828 16901.1
1000 1 0.8 0 -6120.54 6.68296 0.225925 16687.6
2000 1 0.8 0 -6113.07 5.90535 0.831758 16670.6
3000 1 0.8 0 -6078.22 6.43375 0.348969 16969.5
4000 1 0.8 0 -6051.19 6.41119 0.358 16762.4
5000 1 0.8 0 -6080.9 6.59196 0.266899 16923.3
6000 1 0.8 0 -6020.09 7.03966 0.125217 16824.5
7000 1 0.8 0 -6012.69 6.14265 0.566997 16920
8000 1 0.8 0 -6028.28 6.78208 0.193577 16884.5
9000 1 0.8 0 -6065.84 7.08388 0.115878 16768.6
10000 1 0.8 0 -6147.12 6.05179 0.65615 16812.6
11000 1 0.8 0 -6077.15 6.46344 0.326086 16666.5
12000 1 0.8 0 -6135.48 6.2147 0.497799 16763.4
13000 1 0.8 0 -6086.68 5.86366 0.897549 16774.1
14000 1 0.8 0 -6104.04 5.93062 0.798925 16705.7
15000 1 0.8 0 -6065.03 6.20015 0.507044 16663.1
16000 1 0.8 0 -6151.89 4.63319 6.81022 16157.3
17000 1 0.8 0 -6074.13 7.53119 0.054474 16693.2
18000 1 0.8 0 -6149.75 6.83672 0.177833 17000.2
19000 1 0.8 0 -6117.98 6.47779 0.325336 17033.2
20000 1 0.8 0 -6138.5 6.83743 0.176883 16929.4
21000 1 0.8 0 -6042.88 6.47439 0.32563 16951.6
22000 1 0.8 0 -6131.2 5.86804 0.886412 16688.2
23000 1 0.8 0 -6092.5 5.96178 0.754318 16619.4
24000 1 0.8 0 -6053.94 5.85471 0.926861 17064
25000 1 0.8 0 -6137.46 6.5155 0.298983 16675.7
26000 1 0.8 0 -6118.38 7.21557 0.0923134 16660.8
27000 1 0.8 0 -6093.63 5.2572 2.45743 16606.1
28000 1 0.8 0 -6133.82 6.21703 0.486218 16437.6
29000 1 0.8 0 -6064.39 5.00687 3.76788 16731.1
30000 1 0.8 0 -6068.97 6.0232 0.691538 16889.5
31000 1 0.8 0 -6056.83 5.11532 3.15067 16781.6
32000 1 0.8 0 -6084.64 6.82937 0.178339 16839.8
33000 1 0.8 0 -6079.13 4.68716 6.39216 16602.2
34000 1 0.8 0 -6044.55 5.07115 3.39224 16778
35000 1 0.8 0 -6087.91 6.6085 0.251898 16421.4
36000 1 0.8 0 -6027.16 7.23218 0.0894624 16602.2
37000 1 0.8 0 -6122.64 6.379 0.375434 16654.6
38000 1 0.8 0 -6129.31 6.08375 0.609363 16473.7
39000 1 0.8 0 -6106.15 6.88447 0.161464 16722.5
40000 1 0.8 0 -6071.49 6.32554 0.410268 16638.8
41000 1 0.8 0 -6055.7 6.05426 0.644573 16584.5
42000 1 0.8 0 -6048.35 7.13524 0.103883 16385.2
43000 1 0.8 0 -6093.84 6.23744 0.487854 17067.4
44000 1 0.8 0 -6032.05 6.05222 0.651094 16695
45000 1 0.8 0 -6015.66 6.16993 0.546289 17065.6
46000 1 0.8 0 -6103.74 6.26108 0.467148 17004.1
47000 1 0.8 0 -6138.88 6.69998 0.219175 16657.9
48000 1 0.8 0 -6074.6 6.02196 0.681217 16603
49000 1 0.8 0 -6058.86 5.73208 1.11384 16693.5
50000 1 0.8 0 -6017.61 5.88491 0.885833 17156
51000 1 0.8 0 -6145.21 6.1667 0.550044 17089.8
52000 1 0.8 0 -6058.77 4.86024 4.8564 16862.4
53000 1 0.8 0 -6009.71 6.51825 0.300915 16861
54000 1 0.8 0 -6114.89 6.37356 0.382941 16833.3
55000 1 0.8 0 -6131.09 6.62043 0.248938 16556.4
56000 1 0.8 0 -6080.16 6.44672 0.337188 16757.2
57000 1 0.8 0 -6084.03 5.77245 1.05454 16912.3
58000 1 0.8 0 -6100.11 7.17824 0.0998828 16932.6
59000 1 0.8 0 -6157.85 6.9581 0.14269 16720.9
60000 1 0.8 0 -6016.63 6.74006 0.207258 16847.6
61000 1 0.8 0 -6053.27 6.33173 0.403198 16522.7
62000 1 0.8 0 -6027.73 6.66026 0.233167 16579.1
63000 1 0.8 0 -6077.04 6.41049 0.357225 16706.4
64000 1 0.8 0 -6070.97 5.64579 1.27593 16546
65000 1 0.8 0 -6063.65 4.53811 8.30512 16799
66000 1 0.8 0 -6096.43 5.87128 0.89435 16929.3
67000 1 0.8 0 -6080.72 6.00961 0.702409 16768.5
68000 1 0.8 0 -6143.04 5.40291 1.91588 16531.2
69000 1 0.8 0 -6094.49 5.20213 2.72865 16811.8
70000 1 0.8 0 -6083.78 6.0565 0.647387 16719.7
71000 1 0.8 0 -6176.23 6.07007 0.629589 16634.4
72000 1 0.8 0 -6089.52 5.37255 2.02211 16581.5
73000 1 0.8 0 -6054.47 6.33024 0.404101 16518.4
74000 1 0.8 0 -6046.82 6.8006 0.185387 16680.3
75000 1 0.8 0 -6144.15 6.54597 0.280708 16477.4
76000 1 0.8 0 -6114.32 7.12731 0.108026 16813.6
77000 1 0.8 0 -6086.46 5.23632 2.60635 17006.1
78000 1 0.8 0 -6042.96 6.50028 0.311313 16925.7
79000 1 0.8 0 -6054.99 6.41607 0.352833 16656
80000 1 0.8 0 -6092.74 4.7283 5.90734 16439.2
81000 1 0.8 0 -6039.89 6.34393 0.396179 16570.7
82000 1 0.8 0 -6045.06 5.67952 1.2419 17042.2
83000 1 0.8 0 -6130.69 6.52935 0.291918 16664.3
84000 1 0.8 0 -6125.64 6.98876 0.135109 16667.9
85000 1 0.8 0 -6158.96 6.34295 0.401223 16754.3
86000 1 0.8 0 -6062.6 7.06508 0.118716 16645.8
87000 1 0.8 0 -6133.92 6.0188 0.688864 16700.6
88000 1 0.8 0 -6101.59 7.225 0.0892495 16364.5
89000 1 0.8 0 -6116.91 6.51047 0.306175 16933.4
90000 1 0.8 0 -6103.28 5.98 0.740337 16817.7
91000 1 0.8 0 -6188.96 6.16839 0.535109 16673.1
92000 1 0.8 0 -6162.41 6.35289 0.392132 16650
93000 1 0.8 0 -6140.98 5.92836 0.808123 16834.1
94000 1 0.8 0 -6159.23 6.07237 0.630957 16735
95000 1 0.8 0 -6098.96 5.47878 1.75093 17158.4
96000 1 0.8 0 -6048.56 5.94182 0.804256 17136.1
97000 1 0.8 0 -6122.81 6.60942 0.257794 16831.7
98000 1 0.8 0 -6120.35 7.02281 0.129372 16898.5
99000 1 0.8 0 -6129.13 6.98029 0.137485 16721.9
100000 1 0.8 0 -6125.34 5.53769 1.56221 16898.8
101000 1 0.8 0 -6167.61 5.77504 1.04867 16891.1
102000 1 0.8 0 -6168.21 7.27727 0.0821343 16440
103000 1 0.8 0 -6137.53 4.68097 6.48109 16659.5
104000 1 0.8 0 -6122.08 6.72227 0.213559 16849.3
105000 1 0.8 0 -6158.66 6.36857 0.381656 16637
106000 1 0.8 0 -6118.2 5.51952 1.5515 16279.2
107000 1 0.8 0 -6138.31 6.60921 0.256506 16741.9
108000 1 0.8 0 -6105.07 4.97989 3.93948 16718.8
109000 1 0.8 0 -6091.94 5.37401 2.04979 16849.5
110000 1 0.8 0 -6103.01 6.4882 0.31067 16552
111000 1 0.8 0 -6096.6 5.51925 1.57428 16510.7
112000 1 0.8 0 -6115.52 6.07268 0.637101 16906.6
113000 1 0.8 0 -6106.8 6.4634 0.326535 16688.5
114000 1 0.8 0 -6087.74 5.7681 1.05436 16786.4
115000 1 0.8 0 -6083.86 6.89089 0.159891 16739
116000 1 0.8 0 -6095.37 6.64091 0.243466 16758.3
117000 1 0.8 0 -6110.05 5.81457 0.983083 16920.5
118000 1 0.8 0 -6138.44 7.12332 0.107741 16657.5
119000 1 0.8 0 -6053.02 6.19474 0.518956 16900.4
120000 1 0.8 0 -6168.32 5.96977 0.743386 16599.5
121000 1 0.8 0 -6129.41 6.1313 0.571388 16729.7
