# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
30000000 0.1 0.01 0 297.901 -44.2335 16649.4 -6128.56 -0.000412336 0.000637665
30001000 0.1 0.01 0 315.944 -797.307 16563.3 -6135.17 -0.000517946 0.000787959
30002000 0.1 0.01 0 293.321 -14.884 16427 -6164.59 -0.000410619 0.000636028
30003000 0.1 0.01 0 296.16 -655.077 16684.6 -6090.5 -0.000580683 0.000880976
30004000 0.1 0.01 0 298.125 -34.6713 16526.7 -6041.31 -0.000391861 0.000610625
30005000 0.1 0.01 0 298.839 -601.744 16545.7 -6062.61 -0.000590241 0.00089384
30006000 0.1 0.01 0 305.243 -564.587 16527.6 -6085.77 -0.0004987 0.000767214
30007000 0.1 0.01 0 294.985 1224.67 16480.3 -5979.44 -0.000497459 0.000762058
30008000 0.1 0.01 0 334.014 485.066 16817.9 -6098.82 -0.000429382 0.000660029
30009000 0.1 0.01 0 281.098 105.451 16118.3 -6101.82 -0.000516804 0.000791328
30010000 0.1 0.01 0 306.607 -556.965 16637.6 -6080.02 -0.000436792 0.000674359
30011000 0.1 0.01 0 311.469 -549.559 16739.9 -6057.25 -0.000580348 0.00088306
30012000 0.1 0.01 0 305.6 477.864 16621.3 -6023.97 -0.000563408 0.0008567
30013000 0.1 0.01 0 294.327 28.6533 16529.4 -6082.76 -0.000562434 0.000853861
30014000 0.1 0.01 0 310.74 -477.941 16814.1 -6105.52 -0.00037319 0.000581573
30015000 0.1 0.01 0 298.152 -213.318 16722.5 -6068.6 -0.000492325 0.000754976
30016000 0.1 0.01 0 299.806 -178.948 16837 -6085.22 -0.000410014 0.000636979
30017000 0.1 0.01 0 295.731 -457.723 16901 -6159.71 -0.000137157 0.000237168
30018000 0.1 0.01 0 307.537 148.884 16694.8 -6164.38 -0.000564828 0.000856772
30019000 0.1 0.01 0 294.061 415.103 16605.7 -6126.77 -0.000593373 0.000901859
