# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
44000000 0 0.01 0 307.06 -1267.48 16648.8 -6103.31 -3.14139e-08 -1.83827e-08
44001000 0 0.01 0 310.113 -121.225 16749.3 -6169.78 1.45228e-08 3.35385e-08
44002000 0 0.01 0 285.051 -1415.91 16802.4 -6090.76 -3.27418e-10 1.64218e-08
44003000 0 0.01 0 282.623 -1106.39 16683 -6109.77 -1.01281e-08 5.64978e-09
44004000 0 0.01 0 299.309 237.774 16318.2 -6092.16 -1.73241e-08 -1.12777e-09
44005000 0 0.01 0 299.224 322.121 16609 -6092.19 -1.1958e-08 4.75484e-09
44006000 0 0.01 0 303.267 880.033 16624.6 -6088.67 1.09831e-08 2.8831e-08
44007000 0 0.01 0 296.533 418.909 16573.9 -6159.01 -6.89397e-09 8.77844e-09
44008000 0 0.01 0 295.636 1119.33 16454.2 -6092.72 -2.2108e-08 -8.17454e-09
44009000 0 0.01 0 298.483 -176.683 16527.6 -6112.24 -2.41052e-08 -9.95715e-09
44010000 0 0.01 0 306.225 176.239 16311.9 -6145.05 -4.17276e-09 1.18962e-08
44011000 0 0.01 0 300.039 -143.209 16589.5 -6139.23 -1.91976e-08 -3.78714e-09
44012000 0 0.01 0 300.562 -90.8809 16643.2 -6134.59 -1.51922e-08 -1.96451e-10
44013000 0 0.01 0 307.872 -1570.83 16865.4 -6085.46 -3.23053e-09 1.31768e-08
44014000 0 0.01 0 309.641 595.657 16317.5 -6136.41 -3.58305e-08 -2.16023e-08
44015000 0 0.01 0 300.686 338.805 16551.4 -6123.89 -1.41517e-09 1.65237e-08
44016000 0 0.01 0 292.745 -166.699 16422.4 -6101.71 -1.69821e-08 -2.67391e-09
44017000 0 0.01 0 289.133 1272.22 16390 -6148.9 6.54109e-09 2.47528e-08
44018000 0 0.01 0 301.114 995.612 16519.4 -6097.87 -2.00162e-08 -6.51926e-09
44019000 0 0.01 0 303.285 -948.141 16764.5 -6078.55 8.16362e-09 2.64808e-08
44020000 0 0.01 0 297.978 -500.381 16644.4 -6074.09 1.68038e-08 3.50301e-08
44021000 0 0.01 0 293.005 -371.552 16635.5 -6103.93 -5.42423e-09 1.07393e-08
44022000 0 0.01 0 305.435 -395.628 16614.7 -6110.58 -1.98997e-09 1.44355e-08
44023000 0 0.01 0 294.196 -337.716 16719.4 -6112.56 1.08448e-08 2.90747e-08
44024000 0 0.01 0 289.536 8.52614 16791.1 -6100.78 3.50337e-09 2.07874e-08
44025000 0 0.01 0 295.945 1247.1 16750.4 -6117.67 2.02854e-08 3.89227e-08
44026000 0 0.01 0 307.077 882.409 16721.7 -6193.72 -1.80808e-08 -3.95084e-09
44027000 0 0.01 0 301.849 -496.783 16609.7 -6087.6 -1.68657e-08 -1.89175e-09
44028000 0 0.01 0 297.651 -265.106 16738.1 -6045 1.21727e-08 3.02753e-08
44029000 0 0.01 0 301.068 -444.103 16645.6 -6029.24 1.07357e-08 2.81761e-08
44030000 0 0.01 0 306.118 -484.982 16556.1 -6005.42 -2.68628e-08 -1.29694e-08
44031000 0 0.01 0 302.475 911.699 16325.4 -6126.04 2.4811e-08 4.43542e-08
44032000 0 0.01 0 306.814 933.295 16454 -6196.12 -2.89656e-08 -1.52613e-08
44033000 0 0.01 0 307.02 147.637 16510.9 -6129.8 7.778e-09 2.50729e-08
44034000 0 0.01 0 309.118 391.041 16808.1 -6157.06 6.89761e-09 2.51894e-08
44035000 0 0.01 0 300.582 -122.568 17035.8 -6106.45 3.35785e-09 2.12931e-08
44036000 0 0.01 0 309.067 44.5359 16686.7 -6168.98 1.36206e-08 3.22798e-08
44037000 0 0.01 0 315.73 -243.755 16316.4 -6115.88 -8.57835e-09 8.61837e-09
44038000 0 0.01 0 307.457 -482.075 16516.3 -6133.98 1.4712e-08 3.36549e-08
44039000 0 0.01 0 281.129 113.639 16500.5 -6062.52 -9.18226e-09 7.1559e-09
44040000 0 0.01 0 297.111 78.3478 16650.9 -6070 -5.83896e-09 1.08084e-08
44041000 0 0.01 0 296.201 -756.067 16560.2 -6143.52 -1.50612e-09 1.55123e-08
44042000 0 0.01 0 310.29 359.902 16663.1 -6121.07 -6.04632e-09 1.00808e-08
44043000 0 0.01 0 296.241 -84.5367 16684 -6115.41 -8.29823e-09 8.50559e-09
44044000 0 0.01 0 301.709 640.109 16385.8 -6130.86 3.01116e-08 5.16047e-08
44045000 0 0.01 0 300.478 2.78689 16533.5 -6147.22 2.35959e-08 4.39395e-08
44046000 0 0.01 0 293.921 1266.78 16645.5 -6032.1 1.04119e-08 2.7303e-08
44047000 0 0.01 0 312.393 646.413 16416.2 -6037.62 -2.37815e-08 -9.8953e-09
44048000 0 0.01 0 305.34 -862.343 16812.4 -6024.44 1.69566e-08 3.51793e-08
44049000 0 0.01 0 304.493 479.404 16465.4 -6095.13 2.32285e-08 4.18586e-08
44050000 0 0.01 0 291.9 148.048 16428.8 -6175.82 2.28247e-08 4.23424e-08
44051000 0 0.01 0 301.057 383.681 16303.6 -6132.91 -7.73434e-09 8.54197e-09
44052000 0 0.01 0 306.478 748.546 16138.8 -6173.64 8.26185e-09 2.73649e-08
44053000 0 0.01 0 308.723 291.481 16543.4 -6069.19 -1.2642e-08 2.68483e-09
44054000 0 0.01 0 283.127 144.567 16466.6 -6116.37 1.92085e-09 1.97506e-08
44055000 0 0.01 0 297.5 371.029 16449.3 -6106.09 8.04721e-09 2.52694e-08
44056000 0 0.01 0 292.108 742.944 16416.5 -6123.67 -1.28894e-08 3.47427e-09
44057000 0 0.01 0 301.783 545.956 16678 -6130.86 -1.52977e-08 -8.54925e-10
44058000 0 0.01 0 300.796 616.561 16622.2 -6138.29 1.1496e-08 2.84454e-08
44059000 0 0.01 0 294.73 313.993 16380.8 -6098.16 -3.56013e-08 -2.27155e-08
44060000 0 0.01 0 295.059 143.343 16592.9 -6062.05 -4.45652e-09 1.23582e-08
44061000 0 0.01 0 309.273 11.9785 16376.4 -6050.75 -8.51287e-10 1.69966e-08
44062000 0 0.01 0 295.34 -926.148 16853.3 -6117.41 1.60799e-09 1.92813e-08
44063000 0 0.01 0 295.483 -406.368 16575.6 -6122.07 2.19006e-08 3.99996e-08
44064000 0 0.01 0 292.055 -9.3334 16585.7 -6165.97 -9.81163e-09 6.52653e-09
44065000 0 0.01 0 301.439 246.821 16541.5 -6085.9 8.63656e-09 2.63099e-08
44066000 0 0.01 0 289.526 967.157 16414.2 -6147.85 -3.93629e-09 1.33368e-08
44067000 0 0.01 0 275.935 371.543 16470.2 -6133.24 -2.41198e-08 -1.04483e-08
44068000 0 0.01 0 298.975 168.877 16741.5 -6085.48 -1.75423e-08 -2.29193e-09
44069000 0 0.01 0 296.422 521.161 16516.3 -6147.56 7.94898e-09 2.62116e-08
44070000 0 0.01 0 302.954 798.128 16287 -6127.8 -7.72779e-08 -6.954e-08
44071000 0 0.01 0 294.02 1193.74 16284.4 -6122.73 -2.35013e-09 1.35624e-08
44072000 0 0.01 0 309.03 -576.506 16555.6 -6058.92 -3.83516e-08 -2.7143e-08
44073000 0 0.01 0 311.322 641.061 16304 -6090.56 -1.20381e-08 3.79077e-09
44074000 0 0.01 0 292.21 231.576 16790.5 -6046.99 -3.07773e-09 1.38098e-08
44075000 0 0.01 0 289.811 -178.471 16779 -6122.9 -3.44298e-08 -2.18097e-08
44076000 0 0.01 0 307.792 99.5128 16483.6 -6149.35 -1.70257e-08 -3.58705e-09
44077000 0 0.01 0 295.248 701.808 16781 -6122.09 -8.87667e-09 7.6252e-09
44078000 0 0.01 0 291.972 139.12 16588.2 -6131.77 4.41723e-08 6.53454e-08
44079000 0 0.01 0 304.572 -1078.71 16908.2 -6120.17 1.36533e-08 3.07446e-08
44080000 0 0.01 0 295.642 -811.995 16750.9 -6125.98 2.54659e-10 1.61854e-08
44081000 0 0.01 0 293.619 -563.126 16980 -6149.38 -3.65981e-09 1.15397e-08
44082000 0 0.01 0 294.177 188.842 16587.9 -6135.22 1.13614e-08 3.0399e-08
44083000 0 0.01 0 309.514 215.182 16484.8 -6116.21 1.25037e-08 2.94604e-08
44084000 0 0.01 0 301.556 864.707 16293.1 -6118.84 2.59606e-08 4.62533e-08
44085000 0 0.01 0 296.21 436.868 16409.1 -6105.99 1.74841e-08 3.67945e-08
44086000 0 0.01 0 292.176 -291.722 16521.6 -6097.18 -5.23869e-09 1.16561e-08
44087000 0 0.01 0 304.645 350.205 16660 -6122.08 5.74073e-09 2.29047e-08
44088000 0 0.01 0 303.855 631.779 16359.4 -6134.07 3.12502e-09 2.06564e-08
44089000 0 0.01 0 303.017 679.694 16493.9 -6090.29 1.40826e-08 3.31347e-08
44090000 0 0.01 0 297.634 762.162 16540.8 -6162.44 -3.85262e-09 1.38134e-08
44091000 0 0.01 0 302.469 392.05 16449.5 -6111.52 -3.60633e-08 -2.35814e-08
44092000 0 0.01 0 271.843 -341.143 16537.4 -6080.97 -4.90763e-09 1.14705e-08
44093000 0 0.01 0 302.932 382.858 16233.4 -6126.67 1.0903e-08 2.88746e-08
44094000 0 0.01 0 299.905 1197.11 16539.8 -6093.26 -1.34751e-08 1.25146e-09
44095000 0 0.01 0 305.502 147.342 16620.2 -6149.63 1.8772e-09 1.93468e-08
44096000 0 0.01 0 292.357 702.682 16586.6 -6132.06 5.50062e-09 2.35959e-08
44097000 0 0.01 0 303.448 769.83 16375 -6037.75 -3.27418e-09 1.40062e-08
44098000 0 0.01 0 290.603 -1830.33 16763.4 -6129.61 -1.80808e-09 1.43918e-08
44099000 0 0.01 0 300.002 -119.843 16487.1 -6103.38 4.07454e-10 1.835e-08
44100000 0 0.01 0 300.28 274.535 16150 -6193.46 -1.64437e-08 -4.32919e-10
44101000 0 0.01 0 296.719 -763.223 16459.2 -6173.35 -6.22094e-09 9.97898e-09
44102000 0 0.01 0 294.078 815.738 16295.9 -6176.95 -1.47702e-08 7.31234e-10
44103000 0 0.01 0 287.361 -278.163 16721.9 -6119.31 -1.43555e-08 1.3024e-09
44104000 0 0.01 0 307.785 936.175 16429.1 -6115.82 1.10376e-08 2.86127e-08
44105000 0 0.01 0 307.545 643.932 16682.7 -6051.96 -1.31331e-08 1.64437e-09
44106000 0 0.01 0 301.345 -274.588 16810.8 -6043.27 1.03719e-08 2.82489e-08
44107000 0 0.01 0 282.414 573.222 16893.8 -6080.54 6.04268e-09 2.4982e-08
44108000 0 0.01 0 306.003 458.22 16786 -6066 -9.63701e-09 6.48288e-09
44109000 0 0.01 0 303.609 355.482 16588.8 -6113.59 4.24552e-09 2.2701e-08
44110000 0 0.01 0 300.457 472.63 16583.6 -6076.96 5.40967e-09 2.42399e-08
44111000 0 0.01 0 292.466 243.428 16673.3 -6056.62 1.72004e-08 3.69691e-08
44112000 0 0.01 0 301.546 195.85 16742.7 -6117.8 1.07866e-08 2.9504e-08
44113000 0 0.01 0 303.872 -211.128 16762 -6072.87 -1.79316e-08 -2.41562e-09
44114000 0 0.01 0 294.879 127.232 16481 -6067.94 -7.31234e-10 1.63564e-08
44115000 0 0.01 0 297.711 -65.512 16541.3 -6099.65 -1.75714e-09 1.38934e-08
44116000 0 0.01 0 298.779 639.725 16470 -6065.46 -1.99361e-09 1.40317e-08
44117000 0 0.01 0 309.558 761.394 16622.5 -6099.74 -2.34431e-08 -9.1386e-09
44118000 0 0.01 0 296.289 365.828 16605.9 -6154.14 1.97069e-08 3.98431e-08
44119000 0 0.01 0 297.532 -508.417 16830.5 -6090.26 1.40644e-08 3.268e-08
44120000 0 0.01 0 295.783 -1039.12 16878.5 -6094.87 2.02635e-09 1.85937e-08
44121000 0 0.01 0 308.515 272.234 16604 -6104.67 -9.07312e-09 7.6725e-09
44122000 0 0.01 0 290.207 721.534 16320.9 -6073.76 1.72695e-08 3.6991e-08
44123000 0 0.01 0 298.971 -515.796 16628.8 -6082.06 -1.06629e-08 4.30373e-09
44124000 0 0.01 0 304.352 -205.554 16561.9 -6085.13 1.70512e-08 3.54958e-08
44125000 0 0.01 0 298.269 491.082 16457.9 -6096.87 3.35785e-09 2.14823e-08
44126000 0 0.01 0 297.655 166.694 16267.8 -6147.76 -1.37697e-08 1.98997e-09
44127000 0 0.01 0 290.751 73.5174 16483.4 -6025.73 -1.47993e-08 1.28057e-09
44128000 0 0.01 0 301.818 -759.828 16521 -6177.22 -2.63462e-08 -1.35406e-08
44129000 0 0.01 0 310.626 -77.6955 16511.4 -6148.62 -4.37685e-08 -3.17159e-08
44130000 0 0.01 0 313.85 206.913 16733.5 -6090.64 1.86483e-08 3.74021e-08
44131000 0 0.01 0 307.258 20.4759 16665.6 -6121.72 6.25005e-09 2.4349e-08
44132000 0 0.01 0 306.747 96.9628 16371.2 -6100.47 2.15405e-08 4.12365e-08
44133000 0 0.01 0 303.65 755.29 16441.8 -6169.05 2.1304e-08 3.95958e-08
44134000 0 0.01 0 294.547 -449.171 16674.9 -6106.9 5.01313e-09 2.0962e-08
44135000 0 0.01 0 304.664 -337.712 16616.9 -6106.14 7.74162e-09 2.50438e-08
44136000 0 0.01 0 298.027 431.209 16168.2 -6125.21 -3.04208e-08 -1.68693e-08
44137000 0 0.01 0 297.313 402.197 16598.2 -6080.72 -1.33768e-08 2.03363e-09
44138000 0 0.01 0 302.704 764.895 16443.1 -6185.13 3.77622e-09 2.06019e-08
44139000 0 0.01 0 294.946 450.61 16487.7 -6131.38 -1.58252e-08 -1.74987e-09
44140000 0 0.01 0 311.041 544.815 16555.2 -6069.43 4.02724e-09 2.05182e-08
44141000 0 0.01 0 288.651 -322.887 16486.7 -6071.16 -1.41808e-08 1.77897e-09
44142000 0 0.01 0 294.428 -471.952 16842.3 -6096.03 2.25991e-08 4.19168e-08
44143000 0 0.01 0 307.539 61.6065 16433.9 -6161.63 -1.4501e-08 2.21553e-09
44144000 0 0.01 0 293.161 87.9304 16599.4 -6117.38 -8.88758e-09 7.55244e-09
44145000 0 0.01 0 293.111 -119.548 16649.7 -6142.13 1.22018e-08 3.01698e-08
44146000 0 0.01 0 294.317 865.819 16510.3 -6111.48 -2.47419e-08 -1.06265e-08
44147000 0 0.01 0 296.903 -12.6151 16744.3 -6082.99 -3.52156e-09 1.30931e-08
44148000 0 0.01 0 311.567 692.258 16552.2 -6119.05 2.24063e-08 4.16076e-08
44149000 0 0.01 0 293.488 328.836 16551.4 -6123.44 3.0308e-08 5.10518e-08
44150000 0 0.01 0 305.735 -32.6805 16432.2 -6078.65 -3.05845e-08 -1.88957e-08
44151000 0 0.01 0 303.79 508.292 16219.4 -6171.47 -4.07672e-08 -2.86091e-08
44152000 0 0.01 0 293.039 107.39 16488 -6088.33 2.11076e-08 4.1e-08
44153000 0 0.01 0 286.669 102.562 16616 -6088.83 -3.46627e-08 -2.15878e-08
44154000 0 0.01 0 308.029 170.759 16530.2 -6135.65 1.57161e-08 3.38005e-08
44155000 0 0.01 0 306.538 449.016 16410.5 -6082.91 3.40151e-09 2.16132e-08
44156000 0 0.01 0 298.722 -1246.53 16582.5 -6124.66 -4.43833e-09 1.13432e-08
44157000 0 0.01 0 307.293 -258.486 16740.8 -6055.81 4.57148e-08 6.72153e-08
44158000 0 0.01 0 297.732 -347.694 16539 -6116.47 -2.14859e-08 -5.91172e-09
44159000 0 0.01 0 304.639 -438.942 16599.8 -6113.97 5.73345e-09 2.35086e-08
44160000 0 0.01 0 302.351 -695.589 16583.8 -6142.27 -2.03108e-08 -5.66433e-09
44161000 0 0.01 0 297.615 190.738 16763.9 -6086.98 3.63798e-10 1.63382e-08
44162000 0 0.01 0 294.236 957.029 16721.2 -6159.84 1.69566e-08 3.5172e-08
44163000 0 0.01 0 293.5 -165.311 17334 -6087.44 -8.15344e-08 -7.35563e-08
44164000 0 0.01 0 297.078 255.425 16514.6 -6051.22 -4.49872e-08 -3.31129e-08
44165000 0 0.01 0 305.213 -355.896 16482.8 -6014.91 -3.0559e-09 1.3315e-08
44166000 0 0.01 0 296.144 -254.699 16681.8 -6061.42 -1.52068e-08 -2.05546e-09
44167000 0 0.01 0 298.097 23.9809 16388.3 -6120.69 1.41772e-08 3.24108e-08
44168000 0 0.01 0 306.999 886.205 16384.4 -6086.82 -5.20231e-10 1.78152e-08
44169000 0 0.01 0 300.241 1379.26 16741.6 -6105.56 -2.46764e-08 -9.70977e-09
44170000 0 0.01 0 294.126 -554.742 16774.8 -6118.36 -2.06273e-09 1.44719e-08
44171000 0 0.01 0 302.245 478.456 16383.6 -6119.07 -4.55111e-09 1.23509e-08
