# Time-averaged data for fix FEPout005
# TimeStep v_param v_param005 v_pe c_FEP005[1] c_FEP005[2] c_FEP005[3]
7000000 0.2 1 13.2062 1.85925 733.808 16596.4
7001000 0.2 1 13.3477 1.8672 724.08 16596.4
7002000 0.2 1 13.922 1.84966 745.705 16596.4
7003000 0.2 1 13.7799 1.85017 745.073 16596.4
7004000 0.2 1 14.7378 1.86159 730.926 16596.4
7005000 0.2 1 12.4924 1.83546 763.682 16596.4
7006000 0.2 1 14.5269 1.86879 722.158 16596.4
7007000 0.2 1 17.2968 1.86065 732.088 16596.4
7008000 0.2 1 11.9001 1.86383 728.188 16596.4
7009000 0.2 1 12.2326 1.86548 726.179 16596.4
7010000 0.2 1 15.6894 1.84787 747.942 16596.4
7011000 0.2 1 12.6044 1.88488 702.922 16596.4
7012000 0.2 1 13.0551 1.83096 769.461 16596.4
7013000 0.2 1 15.8145 1.84251 754.707 16596.4
7014000 0.2 1 9.69905 1.85868 734.514 16596.4
7015000 0.2 1 15.1804 1.86811 722.98 16596.4
7016000 0.2 1 12.556 1.85433 739.885 16596.4
7017000 0.2 1 15.3517 1.88335 704.733 16596.4
7018000 0.2 1 12.3212 1.83515 764.074 16596.4
7019000 0.2 1 11.1607 1.859 734.118 16596.4
7020000 0.2 1 13.7696 1.86105 731.591 16596.4
7021000 0.2 1 14.2982 1.86062 732.122 16596.4
7022000 0.2 1 10.0614 1.85834 734.928 16596.4
7023000 0.2 1 13.2941 1.8776 711.557 16596.4
7024000 0.2 1 11.6387 1.83485 764.468 16596.4
7025000 0.2 1 16.2648 1.89999 685.329 16596.4
7026000 0.2 1 10.8141 1.86072 731.994 16596.4
7027000 0.2 1 13.9952 1.84493 751.649 16596.4
7028000 0.2 1 14.4397 1.85035 744.841 16596.4
7029000 0.2 1 14.2412 1.88064 707.941 16596.4
7030000 0.2 1 13.2284 1.86887 722.062 16596.4
7031000 0.2 1 11.9867 1.82246 780.52 16596.4
7032000 0.2 1 16.0322 1.88001 708.695 16596.4
7033000 0.2 1 12.0574 1.83549 763.643 16596.4
7034000 0.2 1 13.4816 1.84571 750.665 16596.4
7035000 0.2 1 15.0327 1.88072 707.85 16596.4
7036000 0.2 1 10.9407 1.8257 776.292 16596.4
7037000 0.2 1 13.9374 1.82133 781.993 16596.4
7038000 0.2 1 16.011 1.87067 719.886 16596.4
7039000 0.2 1 12.7864 1.86324 728.91 16596.4
7040000 0.2 1 9.42052 1.82829 772.915 16596.4
7041000 0.2 1 14.0732 1.84104 756.567 16596.4
7042000 0.2 1 14.9123 1.85762 735.814 16596.4
7043000 0.2 1 9.96491 1.8387 759.541 16596.4
7044000 0.2 1 14.3343 1.8573 736.215 16596.4
7045000 0.2 1 15.039 1.85802 735.323 16596.4
7046000 0.2 1 10.1901 1.85556 738.363 16596.4
7047000 0.2 1 14.2189 1.84238 754.87 16596.4
7048000 0.2 1 16.6391 1.86152 731.015 16596.4
7049000 0.2 1 16.4391 1.83966 758.314 16596.4
7050000 0.2 1 13.6937 1.83598 763.012 16596.4
