# Time-averaged data for fix FEPout003
# TimeStep v_param v_param003 v_pe c_FEP003[1] c_FEP003[2] c_FEP003[3]
28000000 0.8 0.6 18.584 -0.536269 40801.8 16596.4
28001000 0.8 0.6 12.9367 -0.540635 41101.6 16596.4
28002000 0.8 0.6 14.4384 -0.539607 41030.8 16596.4
28003000 0.8 0.6 15.2515 -0.537661 40897.1 16596.4
28004000 0.8 0.6 12.3102 -0.533095 40585.1 16596.4
28005000 0.8 0.6 16.8586 -0.542606 41237.8 16596.4
28006000 0.8 0.6 11.6601 -0.533311 40599.8 16596.4
28007000 0.8 0.6 14.6359 -0.537725 40901.5 16596.4
28008000 0.8 0.6 19.1769 -0.533596 40619.2 16596.4
28009000 0.8 0.6 16.5404 -0.541638 41170.8 16596.4
28010000 0.8 0.6 12.8895 -0.527134 40181.3 16596.4
28011000 0.8 0.6 17.4682 -0.54137 41152.3 16596.4
28012000 0.8 0.6 18.2992 -0.540495 41091.9 16596.4
28013000 0.8 0.6 13.8966 -0.531952 40507.3 16596.4
28014000 0.8 0.6 13.8239 -0.540528 41094.3 16596.4
28015000 0.8 0.6 17.6171 -0.530738 40424.9 16596.4
28016000 0.8 0.6 12.2492 -0.546136 41482.6 16596.4
28017000 0.8 0.6 16.2589 -0.526938 40168 16596.4
28018000 0.8 0.6 20.8128 -0.54123 41142.7 16596.4
28019000 0.8 0.6 14.0376 -0.526894 40165.1 16596.4
28020000 0.8 0.6 13.1382 -0.54661 41515.7 16596.4
28021000 0.8 0.6 13.1549 -0.53373 40628.3 16596.4
28022000 0.8 0.6 13.9816 -0.53841 40948.5 16596.4
28023000 0.8 0.6 11.8157 -0.540312 41079.4 16596.4
28024000 0.8 0.6 16.5594 -0.529116 40315.1 16596.4
28025000 0.8 0.6 15.2393 -0.542961 41262.3 16596.4
28026000 0.8 0.6 14.6491 -0.5277 40219.5 16596.4
28027000 0.8 0.6 15.763 -0.554001 42033.6 16596.4
28028000 0.8 0.6 14.4478 -0.522782 39889 16596.4
28029000 0.8 0.6 14.2385 -0.549205 41696.8 16596.4
28030000 0.8 0.6 15.2095 -0.529045 40310.3 16596.4
28031000 0.8 0.6 14.9089 -0.5475 41577.6 16596.4
28032000 0.8 0.6 16.342 -0.529818 40362.6 16596.4
28033000 0.8 0.6 13.2099 -0.539326 41011.5 16596.4
28034000 0.8 0.6 12.7245 -0.540476 41090.7 16596.4
28035000 0.8 0.6 14.3279 -0.528404 40267 16596.4
28036000 0.8 0.6 12.3916 -0.546823 41530.5 16596.4
28037000 0.8 0.6 14.8128 -0.526685 40151 16596.4
28038000 0.8 0.6 18.6701 -0.548235 41628.9 16596.4
28039000 0.8 0.6 15.5349 -0.525981 40103.7 16596.4
28040000 0.8 0.6 16.2722 -0.545755 41456.2 16596.4
28041000 0.8 0.6 14.8873 -0.532216 40525.3 16596.4
28042000 0.8 0.6 14.09 -0.545104 41410.9 16596.4
28043000 0.8 0.6 13.2686 -0.537076 40857 16596.4
28044000 0.8 0.6 14.3969 -0.536838 40840.7 16596.4
28045000 0.8 0.6 12.7801 -0.541455 41158.2 16596.4
28046000 0.8 0.6 13.0873 -0.529608 40348.4 16596.4
28047000 0.8 0.6 16.2789 -0.551972 41890.7 16596.4
28048000 0.8 0.6 17.3415 -0.526119 40113 16596.4
28049000 0.8 0.6 12.7636 -0.548477 41645.9 16596.4
28050000 0.8 0.6 14.0259 -0.531477 40475.1 16596.4
28051000 0.8 0.6 15.1654 -0.548997 41682.2 16596.4
28052000 0.8 0.6 15.9516 -0.528779 40292.3 16596.4
