# Time-averaged data for fix FEPout004
# TimeStep v_param v_param004 v_pe c_FEP004[1] c_FEP004[2] c_FEP004[3]
35000000 1 0.8 14.3689 -0.687879 52616.7 16596.4
35001000 1 0.8 19.9848 -0.704551 54109 16596.4
35002000 1 0.8 15.1396 -0.694635 53216.4 16596.4
35003000 1 0.8 15.1366 -0.690992 52892.2 16596.4
35004000 1 0.8 14.0993 -0.700208 53716.3 16596.4
35005000 1 0.8 12.9168 -0.696282 53363.7 16596.4
35006000 1 0.8 14.4964 -0.674056 51410.8 16596.4
35007000 1 0.8 16.9785 -0.70689 54321.7 16596.4
35008000 1 0.8 18.5022 -0.691777 52961.9 16596.4
35009000 1 0.8 16.1875 -0.692586 53033.9 16596.4
35010000 1 0.8 11.2831 -0.697075 53434.7 16596.4
35011000 1 0.8 17.1401 -0.686184 52467.4 16596.4
35012000 1 0.8 12.9401 -0.702733 53944.2 16596.4
35013000 1 0.8 14.2617 -0.699038 53610.9 16596.4
35014000 1 0.8 20.0514 -0.679266 51862 16596.4
35015000 1 0.8 14.4294 -0.695723 53313.6 16596.4
35016000 1 0.8 15.9266 -0.698012 53518.7 16596.4
35017000 1 0.8 13.3118 -0.694193 53176.9 16596.4
35018000 1 0.8 17.564 -0.693307 53098 16596.4
35019000 1 0.8 11.7053 -0.694268 53183.6 16596.4
35020000 1 0.8 15.961 -0.691645 52950.2 16596.4
35021000 1 0.8 15.0025 -0.699697 53670.2 16596.4
35022000 1 0.8 17.104 -0.692266 53005.3 16596.4
35023000 1 0.8 14.6063 -0.687163 52553.6 16596.4
35024000 1 0.8 15.9166 -0.708399 54459.3 16596.4
35025000 1 0.8 15.9902 -0.68763 52594.8 16596.4
35026000 1 0.8 15.1813 -0.698779 53587.7 16596.4
35027000 1 0.8 16.4965 -0.694296 53186.2 16596.4
35028000 1 0.8 24.1658 -0.708921 54507.1 16596.4
35029000 1 0.8 20.4706 -0.690136 52816.3 16596.4
35030000 1 0.8 14.7553 -0.703612 54023.8 16596.4
35031000 1 0.8 18.8003 -0.689456 52756.2 16596.4
35032000 1 0.8 15.0273 -0.696829 53412.6 16596.4
35033000 1 0.8 17.3718 -0.713049 54885.8 16596.4
35034000 1 0.8 21.4497 -0.677551 51713 16596.4
