# Time-averaged data for fix FEPout005
# TimeStep v_param v_param005 v_pe c_FEP005[1] c_FEP005[2] c_FEP005[3]
35000000 1 1 14.3689 0 16596.4 16596.4
35001000 1 1 19.9848 0 16596.4 16596.4
35002000 1 1 15.1396 0 16596.4 16596.4
35003000 1 1 15.1366 0 16596.4 16596.4
35004000 1 1 14.0993 0 16596.4 16596.4
35005000 1 1 12.9168 0 16596.4 16596.4
35006000 1 1 14.4964 0 16596.4 16596.4
35007000 1 1 16.9785 0 16596.4 16596.4
35008000 1 1 18.5022 0 16596.4 16596.4
35009000 1 1 16.1875 0 16596.4 16596.4
35010000 1 1 11.2831 0 16596.4 16596.4
35011000 1 1 17.1401 0 16596.4 16596.4
35012000 1 1 12.9401 0 16596.4 16596.4
35013000 1 1 14.2617 0 16596.4 16596.4
35014000 1 1 20.0514 0 16596.4 16596.4
35015000 1 1 14.4294 0 16596.4 16596.4
35016000 1 1 15.9266 0 16596.4 16596.4
35017000 1 1 13.3118 0 16596.4 16596.4
35018000 1 1 17.564 0 16596.4 16596.4
35019000 1 1 11.7053 0 16596.4 16596.4
35020000 1 1 15.961 0 16596.4 16596.4
35021000 1 1 15.0025 0 16596.4 16596.4
35022000 1 1 17.104 0 16596.4 16596.4
35023000 1 1 14.6063 0 16596.4 16596.4
35024000 1 1 15.9166 0 16596.4 16596.4
35025000 1 1 15.9902 0 16596.4 16596.4
35026000 1 1 15.1813 0 16596.4 16596.4
35027000 1 1 16.4965 0 16596.4 16596.4
35028000 1 1 24.1658 0 16596.4 16596.4
35029000 1 1 20.4706 0 16596.4 16596.4
35030000 1 1 14.7553 0 16596.4 16596.4
35031000 1 1 18.8003 0 16596.4 16596.4
35032000 1 1 15.0273 0 16596.4 16596.4
35033000 1 1 17.3718 0 16596.4 16596.4
35034000 1 1 21.4497 0 16596.4 16596.4
35035000 1 1 18.5687 0 16596.4 16596.4
35036000 1 1 13.5216 0 16596.4 16596.4
35037000 1 1 15.6455 0 16596.4 16596.4
35038000 1 1 17.1826 0 16596.4 16596.4
