# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
21000000 0.6 0.01 358.91 228.325 16596.4 13.563 -0.0235123 0.0239075
21001000 0.6 0.01 212.451 97.8944 16596.4 14.1176 -0.0230947 0.0234829
21002000 0.6 0.01 340.163 -73.0013 16596.4 15.7253 -0.0224552 0.0228326
21003000 0.6 0.01 283.991 33.2944 16596.4 12.9203 -0.0233401 0.0237323
21004000 0.6 0.01 279.093 -126.071 16596.4 13.1859 -0.0226621 0.023043
21005000 0.6 0.01 351.487 -31.0441 16596.4 11.9757 -0.0227653 0.0231479
21006000 0.6 0.01 247.664 158.842 16596.4 12.0298 -0.0232459 0.0236366
21007000 0.6 0.01 231.103 -7.51934 16596.4 16.8413 -0.0226803 0.0230615
21008000 0.6 0.01 353.472 97.2537 16596.4 15.0269 -0.0230361 0.0234232
21009000 0.6 0.01 164.154 5.79422 16596.4 14.4969 -0.0232435 0.0236341
21010000 0.6 0.01 324.658 -190.941 16596.4 14.5552 -0.0227818 0.0231647
21011000 0.6 0.01 326.836 -190.807 16596.4 16.0685 -0.0228101 0.0231935
21012000 0.6 0.01 367.77 161.569 16596.4 11.3294 -0.0234989 0.0238939
21013000 0.6 0.01 427.636 100.965 16596.4 11.0455 -0.0231515 0.0235406
21014000 0.6 0.01 332.238 -5.70392 16596.4 14.8819 -0.022611 0.022991
21015000 0.6 0.01 278.497 1.23437 16596.4 9.51614 -0.0228396 0.0232234
21016000 0.6 0.01 407.151 15.0819 16596.4 11.3756 -0.0233126 0.0237044
21017000 0.6 0.01 207.165 -249.558 16596.4 12.579 -0.0222614 0.0226355
21018000 0.6 0.01 269.907 133.911 16596.4 12.1212 -0.0234458 0.0238398
21019000 0.6 0.01 406.673 61.3024 16596.4 12.4781 -0.0228304 0.0232141
21020000 0.6 0.01 332.242 62.1759 16596.4 14.8787 -0.0229387 0.0233242
21021000 0.6 0.01 226.578 168.295 16596.4 13.2789 -0.0234478 0.0238419
21022000 0.6 0.01 371.873 -60.1243 16596.4 12.189 -0.0228456 0.0232296
