# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
35000000 1 0.01 277.97 -131.722 16596.4 14.3689 -0.0380244 0.0384066
35001000 1 0.01 341.966 -235.954 16596.4 19.9848 -0.038946 0.0393375
35002000 1 0.01 253.066 -63.4827 16596.4 15.1396 -0.0383979 0.0387838
35003000 1 0.01 162.332 174.355 16596.4 15.1366 -0.0381965 0.0385804
35004000 1 0.01 412.881 143.723 16596.4 14.0993 -0.038706 0.039095
35005000 1 0.01 175.846 -173.304 16596.4 12.9168 -0.0384889 0.0388758
35006000 1 0.01 281.772 -289.066 16596.4 14.4964 -0.0372603 0.0376348
35007000 1 0.01 372.078 370.422 16596.4 16.9785 -0.0390753 0.039468
35008000 1 0.01 292.513 177.849 16596.4 18.5022 -0.0382399 0.0386242
35009000 1 0.01 216.498 -183.304 16596.4 16.1875 -0.0382846 0.0386694
35010000 1 0.01 223.034 -128.479 16596.4 11.2831 -0.0385328 0.03892
35011000 1 0.01 280.149 39.9004 16596.4 17.1401 -0.0379307 0.038312
35012000 1 0.01 182.411 296.216 16596.4 12.9401 -0.0388455 0.0392359
35013000 1 0.01 252.95 -63.7049 16596.4 14.2617 -0.0386413 0.0390296
35014000 1 0.01 208.889 -433.931 16596.4 20.0514 -0.0375483 0.0379257
35015000 1 0.01 473.92 93.1138 16596.4 14.4294 -0.038458 0.0388445
35016000 1 0.01 242.546 319.225 16596.4 15.9266 -0.0385846 0.0389723
35017000 1 0.01 225.197 27.3426 16596.4 13.3118 -0.0383734 0.0387591
35018000 1 0.01 300.334 -329.067 16596.4 17.564 -0.0383245 0.0387096
35019000 1 0.01 254.561 -35.641 16596.4 11.7053 -0.0383776 0.0387633
35020000 1 0.01 240.475 240.233 16596.4 15.961 -0.0382326 0.0386169
35021000 1 0.01 507.696 178.642 16596.4 15.0025 -0.0386777 0.0390664
35022000 1 0.01 275.316 -243.522 16596.4 17.104 -0.0382669 0.0386515
35023000 1 0.01 255.041 -156.701 16596.4 14.6063 -0.0379848 0.0383666
35024000 1 0.01 253.19 320.184 16596.4 15.9166 -0.0391587 0.0395523
35025000 1 0.01 320.377 84.1516 16596.4 15.9902 -0.0380107 0.0383927
35026000 1 0.01 232.862 -175.035 16596.4 15.1813 -0.038627 0.0390152
35027000 1 0.01 236.573 -214.023 16596.4 16.4965 -0.0383791 0.0387649
35028000 1 0.01 377.532 306.248 16596.4 24.1658 -0.0391876 0.0395814
35029000 1 0.01 230.744 132.915 16596.4 20.4706 -0.0381492 0.0385326
35030000 1 0.01 245.378 -41.6602 16596.4 14.7553 -0.0388941 0.039285
35031000 1 0.01 224.589 -351.752 16596.4 18.8003 -0.0381116 0.0384947
