# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
6000000 1.2 0.740369 0.0170283 125.615 -5.66948 0.142491 0 0 -553.774 -24.655
6001000 1.2 0.696653 -0.0489707 118.847 -6.09097 0.0451068 0 0 -594.726 -26.5987
6002000 1.2 0.710013 -0.16515 128.32 -5.60154 0.178746 0 0 -546.894 -24.642
6003000 1.2 0.682806 0.00815393 124.823 -5.70991 0.0760764 0 0 -555.242 -27.2449
6004000 1.2 0.681163 0.0736 129.625 -5.39996 0.79359 0 0 -524.058 -27.5316
6005000 1.2 0.636843 -0.71898 122.889 -5.92563 1.27951 0 0 -578.285 -27.4087
6006000 1.2 0.625765 -0.10208 125.904 -5.68962 0.913631 0 0 -556 -25.2553
6007000 1.2 0.673735 -0.11011 123.427 -5.82712 0.289941 0 0 -566.453 -28.2027
6008000 1.2 0.682336 -0.197629 128.039 -5.55671 0.0158898 0 0 -540.963 -25.8379
6009000 1.2 0.661382 0.0488019 126.507 -5.64663 0.111363 0 0 -550.503 -25.5651
6010000 1.2 0.803608 -0.342466 120.526 -6.03148 0.134982 0 0 -587.601 -27.7454
6011000 1.2 0.686442 0.417432 121.8 -5.81341 0.0770685 0 0 -565.328 -27.7168
6012000 1.2 0.698024 -0.67395 126.552 -5.78107 0.574347 0 0 -562.164 -28.0796
6013000 1.2 0.611305 -0.175142 124.526 -5.77717 3.49804e-05 0 0 -563.301 -25.9702
6014000 1.2 0.779797 0.2945 124.334 -5.69471 1.32791 0 0 -556.208 -25.9801
6015000 1.2 0.80603 0.483005 121.496 -5.84379 0.000134711 0 0 -571.457 -24.6098
6016000 1.2 0.663963 0.810521 124.689 -5.60531 0.0729879 0 0 -547.802 -24.0133
6017000 1.2 0.707439 0.317932 125.805 -5.606 0.00893387 0 0 -547.826 -23.9953
6018000 1.2 0.612918 -0.732176 125.48 -5.82044 0.101207 0 0 -567.082 -26.7036
6019000 1.2 0.592148 -0.325218 126.662 -5.58923 0.590221 0 0 -543.888 -26.804
