# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
0 1 0.702503 -0.075968 121.091 -5.92419 0.0148462 0 0 -583.192 -21.0906
1000 1 0.666241 -0.726236 131.282 -5.43559 0.0062593 0 0 -536.269 -18.167
2000 1 0.73576 -0.0913712 123.059 -5.77804 0.296229 0 0 -567.371 -22.2854
3000 1 0.793876 0.530872 115.56 -6.17302 0.0185422 0 0 -606.112 -23.5554
4000 1 0.731798 0.0355616 126.256 -5.57837 1.02907 0 0 -548.397 -21.6262
5000 1 0.678829 0.150319 123.45 -5.68589 0.202559 0 0 -559.956 -20.2082
6000 1 0.669477 -0.229191 124.6 -5.7068 0.00174124 0 0 -559.243 -22.853
7000 1 0.662483 -0.631217 126.786 -5.70031 0.19049 0 0 -560.226 -21.3957
8000 1 0.61102 -0.0879795 124.056 -5.72702 0.0046129 0 0 -562.493 -21.6681
9000 1 0.705549 -0.0440368 127.486 -5.54358 0.213234 0 0 -544.668 -20.99
10000 1 0.737702 0.275359 120.007 -5.90459 0.0504849 0 0 -578.608 -23.7104
11000 1 0.697854 0.108991 125.036 -5.59046 0.281775 0 0 -552.869 -17.6402
12000 1 0.671512 -0.147744 118.231 -6.08688 0.00225391 0 0 -598.36 -22.5043
13000 1 0.765285 0.0216397 124.886 -5.65081 0.0689985 0 0 -552.266 -24.1862
14000 1 0.7275 0.844064 126 -5.46368 0.110158 0 0 -537.777 -19.628
15000 1 0.718933 0.691724 123.599 -5.61004 0.503848 0 0 -551.792 -20.9367
16000 1 0.667546 0.13998 123.73 -5.73211 0.00892232 0 0 -564.949 -19.7355
17000 1 0.615355 -0.583983 126.522 -5.68055 0.516133 0 0 -557.335 -22.5967
18000 1 0.647179 -0.0170102 123.488 -5.72182 0.124792 0 0 -564.019 -19.7317
19000 1 0.628061 -0.809905 132.096 -5.47036 0.118853 0 0 -536.293 -21.8025
20000 1 0.673601 -0.745283 125.603 -5.79845 0.0130525 0 0 -570.256 -21.1994
21000 1 0.667558 -0.0867939 122.057 -5.88988 0.0509119 0 0 -580.733 -20.0858
22000 1 0.741364 0.540427 124.458 -5.59009 0.110909 0 0 -548.21 -22.0896
23000 1 0.665024 0.800409 122.006 -5.69641 0.175471 0 0 -556.718 -24.4912
24000 1 0.69904 -0.614304 124.157 -5.79685 0.036271 0 0 -569.307 -22.0081
25000 1 0.612394 -0.4317 127.193 -5.61316 0.000190306 0 0 -552.023 -20.5195
26000 1 0.66701 -0.284127 128.059 -5.55571 0.337166 0 0 -547.36 -19.659
27000 1 0.717963 -0.340148 122.88 -5.87875 0.127618 0 0 -579.207 -20.5532
28000 1 0.670771 0.0642701 121.425 -5.81155 0.587231 0 0 -569.077 -24.2878
29000 1 0.65142 -0.342242 126.024 -5.68283 0.126532 0 0 -557.101 -22.6741
30000 1 0.5775 -0.466133 122.079 -5.87341 0.54299 0 0 -578.42 -21.2101
31000 1 0.633921 0.354629 126.628 -5.48892 0.19589 0 0 -539.356 -20.7099
32000 1 0.692768 -0.1194 123.373 -5.77032 0.0434266 0 0 -568.341 -20.2752
33000 1 0.743594 0.083813 121.551 -5.81381 0.98814 0 0 -574.039 -19.9585
34000 1 0.690336 -0.32652 128.036 -5.51727 0.0334363 0 0 -541.089 -21.7059
35000 1 0.707261 -0.401099 121.762 -5.96073 0.692083 0 0 -585.657 -23.0294
36000 1 0.702956 -0.122743 126.806 -5.61794 2.02324 0 0 -551.779 -23.2742
37000 1 0.729466 0.702361 122.469 -5.68005 0.00676384 0 0 -557.809 -21.5632
38000 1 0.783114 0.673357 121.16 -5.7289 0.346342 0 0 -561.875 -22.8193
39000 1 0.724112 0.159225 123.124 -5.70818 0.659257 0 0 -561.972 -20.9222
