#T = 298.0000(K), Lambda State 20: (lambda Coulomb, lambda VDW) = (0.8000,1.0000)
#Steps               Total_En(kJ/mol)     dU/dL(Coulomb=0.8000)         dU/dL(VDW=1.0000)  DelE(L->(0.0000,0.0000))  DelE(L->(0.0000,0.0500))  DelE(L->(0.0000,0.1000))  DelE(L->(0.0000,0.1500))  DelE(L->(0.0000,0.2000))  DelE(L->(0.0000,0.2500))  DelE(L->(0.0000,0.3000))  DelE(L->(0.0000,0.3500))  DelE(L->(0.0000,0.4000))  DelE(L->(0.0000,0.4500))  DelE(L->(0.0000,0.5000))  DelE(L->(0.0000,0.6000))  DelE(L->(0.0000,0.7000))  DelE(L->(0.0000,0.8000))  DelE(L->(0.0000,0.9000))  DelE(L->(0.0000,1.0000))  DelE(L->(0.2000,1.0000))  DelE(L->(0.4000,1.0000))  DelE(L->(0.6000,1.0000))  DelE(L->(0.7000,1.0000))  DelE(L->(0.8000,1.0000))  DelE(L->(0.9000,1.0000))  DelE(L->(1.0000,1.0000))                PV(kJ/mol)
50000               -41656.0922860887             -6.3445758399            -47.9240516869             53.1472938628             50.6335886116             48.1113326854             45.5860834579             43.0636355869             40.5498776139             38.0506027572             35.5712706319             33.1167203075             30.6908407970             28.2962129456             23.6023473546             19.0169324125             14.4849012674              9.9198165290              5.2232421758              3.8067455039              2.4640395840              1.1951244160              0.5883383640              0.0000000000             -0.5698906760             -1.1213336640              1.8785622379
100000              -41786.8601544343             -6.5765669695            -45.0452959471             50.4540685568             48.0108930218             45.5594401969             43.1057101904             40.6563046445             38.2183631084             35.7994395599             33.4072969509             31.0495945290             28.7334426022             26.4648054139             22.0835604882             17.8995232106             13.8355883228              9.7373111471              5.4087726098              3.9459401817              2.5568672707              1.2415538768              0.6115569988              0.0000000000             -0.5931171195             -1.1677943598              1.8807775977
150000              -41927.9846721793             -9.9140557722            -43.2515479209             51.3303345562             48.8658866431             46.4066450758             43.9606024988             41.5361290539             39.1417484683             36.7858335584             34.4762131668             32.2196886726             30.0214681043             27.8845400320             23.7915835399             19.8974821863             16.0939163009             12.2164720842              8.0787866353              5.9484334633              3.8918513001              1.9090401457              0.9452986967              0.0000000000             -0.9268559445             -1.8352691369              1.8747930116
200000              -41805.5984983009            -14.4807678330            -43.4226021462             55.1547413655             52.7237720668             50.2927866951             47.8688432433             45.4594931970             43.0726353496             40.7162978004             38.3983325207             36.1260083274             33.9054931354             31.7412268811             27.5862153703             23.6342844732             19.7893122425             15.8872658436             11.7321392193              8.6884606998              5.7185446567              2.8223910902              1.4019752355              0.0000000000             -1.3835346164             -2.7486286137              1.8657029970
250000              -41617.6391038016             -7.1976553478            -46.8491220638             52.7547610086             50.3245245860             47.8829396987             45.4347638374             42.9850616730             40.5391166079             38.1023021757             35.6799046868             33.2768894063             30.8976056140             28.5454322197             23.9286517924             19.4188241151             14.9698823212             10.4988159762              5.9056389449              4.3185932087              2.8053048058              1.3657737363              0.6736672015              0.0000000000             -0.6552278682             -1.2920164030              1.8849570331
300000              -41587.3585353451             -8.2645126423            -36.2567426214             43.0158860143             40.7112751172             38.4091265536             36.1177281647             33.8465975593             31.6065707124             29.4098438979             27.2699238227             25.2014147630             23.2195376816             21.3392394000             17.9322466038             15.0200681369             12.4730035161              9.9087469045              6.7591433929              4.9587075854              3.2320384174              1.5791358889              0.7803471145              0.0000000000             -0.7619054546             -1.5053692494              1.8755846666
350000              -41397.6933621447             -7.2833032291            -43.9458353621             49.9199733846             47.5974532034             45.2698122291             42.9421102485             40.6196183862             38.3076816763             36.0115376934             33.7360887564             31.4856290349             29.2635335224             27.0719233422             22.7803978477             18.5913797836             14.4509233897             10.2763260053              5.9741380225              4.3699819375              2.8395735720              1.3829129262              0.6822379982              0.0000000000             -0.6638010683             -1.3091652066              1.8777632068
400000              -41319.5703997009             -7.1961703897            -39.6383981962             45.5428375676             43.2275349671             40.9183354481             38.6230508586             36.3500462121             34.1080716551             31.9060103260             29.7525234953             27.6555761820             25.6218326549             23.6559241085             19.9309076146             16.4447765607             13.0810200652              9.6447110519              5.9044393714              4.3177022338              2.8047166261              1.3654825481              0.6735223328              0.0000000000             -0.6550844504             -1.2917310183              1.8930977550
450000              -41330.0974734041            -13.0096212095            -43.8205026601             54.3756986332             51.9772217166             49.5752600641             47.1761498885             44.7866867835             42.4139975107             40.0653460294             37.7478593232             35.4681605186             33.2319024688             31.0432060239             26.8134847553             22.7571759900             18.7924283997             14.7801119714             10.5551959732              7.8057727257              5.1300989810              2.5281747391              1.2548686817              0.0000000000             -1.2364313060             -2.4544252363              1.8881846069
500000              -41062.3104929818            -11.3160079857            -40.8604998568             50.0608252497             47.8316133637             45.6000809841             43.3720760720             41.1537971507             38.9516515146             36.7720552329             34.6211664883             32.5045469988             30.4267522923             28.3908612638             24.4466861710             20.6484962007             16.9232851793             13.1529794939              9.2003253929              6.7896047914              4.4526436922              2.1894420950              1.0855011097              0.0000000000             -1.0670612342             -2.1156825929              1.9128024107
550000              -41420.3155927923              0.1688811737            -45.3650308304             45.3774341676             43.1147703788             40.8377878778             38.5495594406             36.2532893087             33.9522466003             31.6496794401             29.3487091032             27.0522051314             24.7626447860             22.4819633653             17.9513931770             13.4600275442              8.9924675483              4.5207923602              0.0124033372             -0.1013287042             -0.1413066076             -0.1075303728             -0.0629844537              0.0000000000              0.0814229882              0.1812845109              1.8809057850
600000              -41385.1922431319             -0.9573577120            -43.6485777051             44.5620259565             42.2976726115             40.0239204461             37.7452776428             35.4665048998             33.1925020286             30.9281531042             28.6781269373             26.4466331775             24.2371397155             22.0520642602             17.7577379503             13.5510930564              9.3890842680              5.2027865529              0.9134482513              0.5744146272              0.3091620440              0.1176905015              0.0496226207              0.0000000000             -0.0311773605             -0.0439094607              1.8873147368
650000              -41568.0248268151             -4.2685752493            -38.0486801817             41.6110602438             39.2466584853             36.8828159942             34.5280889745             32.1922772697             29.8864735912             27.6230421031             25.4154771364             23.2780720656             21.2253054650             19.2708328353             15.6975951774             12.5793634782              9.7779368466              6.9389957017              3.5623800621              2.5611451496              1.6336701684              0.7799551185              0.3807575679              0.0000000000             -0.3623175850             -0.7061951872              1.8752173980
