#T = 298.0000(K), Lambda State 6: (lambda Coulomb, lambda VDW) = (0.0000,0.3000)
#Steps               Total_En(kJ/mol)     dU/dL(Coulomb=0.0000)         dU/dL(VDW=0.3000)  DelE(L->(0.0000,0.0000))  DelE(L->(0.0000,0.0500))  DelE(L->(0.0000,0.1000))  DelE(L->(0.0000,0.1500))  DelE(L->(0.0000,0.2000))  DelE(L->(0.0000,0.2500))  DelE(L->(0.0000,0.3000))  DelE(L->(0.0000,0.3500))  DelE(L->(0.0000,0.4000))  DelE(L->(0.0000,0.4500))  DelE(L->(0.0000,0.5000))  DelE(L->(0.0000,0.6000))  DelE(L->(0.0000,0.7000))  DelE(L->(0.0000,0.8000))  DelE(L->(0.0000,0.9000))  DelE(L->(0.0000,1.0000))  DelE(L->(0.2000,1.0000))  DelE(L->(0.4000,1.0000))  DelE(L->(0.6000,1.0000))  DelE(L->(0.7000,1.0000))  DelE(L->(0.8000,1.0000))  DelE(L->(0.9000,1.0000))  DelE(L->(1.0000,1.0000))                PV(kJ/mol)
50000               -41314.9162915525            -18.3046860919            130.9115545246             -4.6252238529             -6.5410501615             -7.8513289398             -8.2965967958             -7.5142076809             -4.9922865901              0.0000000000              8.5199514581             22.1204480721             43.1222054034             75.0645950454            197.3020980750            493.8602174195           1359.0790098538           5304.1162039158          16737.3283691018          16733.5198789546          16729.7851652718          16726.1242280534          16724.3214256184          16722.5370672995          16720.7711530966          16719.0236830099              1.8702849033
100000              -41399.0079111127             -4.0557316154            114.2989880138             -2.4993712601             -4.5214045625             -5.9976306037             -6.6929151438             -6.2761772787             -4.2743982457              0.0000000000              7.5672196353             19.9788357107             39.6667446912             70.5879694013            198.6142062361            571.3789729599           2124.1422197627          15475.6360904231         125160.0454794207         125159.0867617187         125158.2018297062         125157.3906833831         125157.0127798551         125156.6533227495         125156.3123120662         125155.9897478053              1.8659399882
150000              -41378.3079818351            -14.0677742513             65.5491613840              2.1392789534             -0.0434897223             -1.7809632401             -2.9051306914             -3.1946863117             -2.3565726558              0.0000000000              4.4008953889             11.5621212904             22.4735887138             38.5310497883             95.1375455410            213.5173133687            472.0583955411           1001.2053284661           1514.3247608940           1511.3636454548           1508.4763103101           1505.6627554598           1504.2836456451           1502.9229809041           1501.5807612366           1500.2569866427              1.8723437450
200000              -41626.6962940501              3.2731164662             71.8154388629              1.8178150104             -0.3890112861             -2.1417233942             -3.2637221039             -3.5173849172             -2.5789237936              0.0000000000              4.8526739862             12.8954173581             25.4920370925             44.7382905599            118.6756846351            298.8683689641            775.8077207586           1949.9189332240           3203.5121019336           3204.0191823364           3204.6000341845           3205.2546574777           3205.6096334163           3205.9830522162           3206.3749138773           3206.7852183998              1.8581677252
250000              -41572.7391351575             19.3208885044            132.5158628925             -4.0935804112             -6.0669673888             -7.4613156934             -8.0194213435             -7.3705695816             -4.9700549883              0.0000000000              8.7974414529             23.4080593248             47.0565071860             85.1383641851            249.1437334701            723.4399798584           2245.0532455305           7001.1280114211          13486.4650614421          13490.1816817939          13493.9720808202          13497.8362585211          13499.7960143745          13501.7742148965          13503.7708600872          13505.7859499465              1.8794976247
300000              -41649.2468837680             -0.4164496493             39.6447440101              5.5720957828              3.2096269607              1.1879676030             -0.3571764177             -1.2452622315             -1.2346877385              0.0000000000              2.9003660805              8.0700561495             16.3406464832             28.8662762500             73.7834726800            165.1366390101            343.0494655729            636.5637271224            878.1511015674            877.9202618238            877.7631969871            877.6799070573            877.6659276824            877.6703920343            877.6933001128            877.7346519181              1.8657981958
350000              -41644.7444318892              2.1491966052             56.3047009853              3.1070316034              0.8848091807             -0.9171477268             -2.1420466978             -2.5862465833             -1.9858319158              0.0000000000              3.8087855806              9.9971292600             19.2631336015             32.4633795047             74.8498564721            145.9590266395            249.5754531273            368.2703826580            451.1255252481            451.4078058496            451.7638658108            452.1937051318            452.4362920523            452.6973238126            452.9768004130            453.2747218532              1.8525260645
400000              -41801.5606343787             16.4740077411             54.1147212964              4.1441284767              1.7886800010             -0.1711187131             -1.5789050568             -2.2253441286             -1.8277380760              0.0000000000              3.7929671537             10.3074666274             20.6413970572             36.4485114925             96.7964302036            248.9468852049            763.5863759777           3320.4095747152           9472.0655669624           9475.2127873971           9478.4337983886           9481.7285999368           9483.4036721697           9485.0971920418           9486.8091595531           9488.5395747035              1.8496269628
450000              -41576.9510155686              4.5053508585             40.3209963734              5.8141341244              3.3721115887              1.2806000866             -0.3209825437             -1.2473424842             -1.2510308196              0.0000000000              2.9532535513              8.2137499169             16.6003263949             29.2184355559             73.5359127759            158.8261821993            307.1002132413            512.5340258539            664.8358053893            665.5892139378            666.4164532979            667.3175234696            667.7957451098            668.2924244529            668.8075614989            669.3411562478              1.8628334638
500000              -41614.6928749782            -12.5017465776             42.6645677618              5.9214208784              3.4773213615              1.3627182390             -0.2811383193             -1.2587920639             -1.2957419727             -0.0000000000              3.1987129605              9.1476089078             19.1358541802             35.1814646333            100.7959687475            274.8333467586            838.4767190494           3272.8291636215           8470.7846277989           8468.1367045074           8465.5625682039           8463.0622188884           8461.8397143511           8460.6356565609           8459.4500455176           8458.2828812214              1.8690975830
550000              -41608.1450644430             -0.8879496269             42.4084743239              5.0465012284              2.6682487135              0.6768222103             -0.7897624748             -1.5544265247             -1.3893316959              0.0000000000              2.9968925032              8.1058857122             16.0025216330             27.6147320256             67.9198580493            150.5351630186            330.7709943400            699.4846645786           1050.0906584796           1049.7655127391           1049.5141449061           1049.3365549808           1049.2754267334           1049.2327429629           1049.2085036694           1049.2027088527              1.8636921975
600000              -41635.8321380233              3.3557634663             37.8066532666              5.4842919339              3.1394762284              1.1487330288             -0.3575400680             -1.2100971333             -1.1879383324              0.0000000000              2.7416380742              7.5624449881             15.1899520007             26.6609162315             68.0971058546            158.4383281433            371.9438977303            856.5363832800           1353.7640293958           1354.2875279770           1354.8848536143           1355.5560063075           1355.9192678002           1356.3009860568           1356.7011610774           1357.1197928620              1.8653835972
650000              -41636.8559633625              4.7860745824             22.0185664269              7.4796394524              5.0319622383              2.8833212573              1.1422206433             -0.0509960469             -0.5128426611             -0.0000000000              1.8161162705              5.3894626755             11.3650204324             20.6906015906             56.0518971317            138.1385506212            345.6577482971            845.3148485369           1373.2311314372           1374.0407495717           1374.9241660972           1375.8813810137           1376.3876628685           1376.9123943211           1377.4555753715           1378.0172060196              1.8589294755
