#T = 298.0000(K), Lambda State 19: (lambda Coulomb, lambda VDW) = (0.7000,1.0000)
#Steps               Total_En(kJ/mol)     dU/dL(Coulomb=0.7000)         dU/dL(VDW=1.0000)  DelE(L->(0.0000,0.0000))  DelE(L->(0.0000,0.0500))  DelE(L->(0.0000,0.1000))  DelE(L->(0.0000,0.1500))  DelE(L->(0.0000,0.2000))  DelE(L->(0.0000,0.2500))  DelE(L->(0.0000,0.3000))  DelE(L->(0.0000,0.3500))  DelE(L->(0.0000,0.4000))  DelE(L->(0.0000,0.4500))  DelE(L->(0.0000,0.5000))  DelE(L->(0.0000,0.6000))  DelE(L->(0.0000,0.7000))  DelE(L->(0.0000,0.8000))  DelE(L->(0.0000,0.9000))  DelE(L->(0.0000,1.0000))  DelE(L->(0.2000,1.0000))  DelE(L->(0.4000,1.0000))  DelE(L->(0.6000,1.0000))  DelE(L->(0.7000,1.0000))  DelE(L->(0.8000,1.0000))  DelE(L->(0.9000,1.0000))  DelE(L->(1.0000,1.0000))                PV(kJ/mol)
50000               -41620.7451359630             -6.1738810159            -48.6999899407             53.2152717722             50.7732679357             48.3170348566             45.8502332243             43.3766130297             40.8999240793             38.4238068917             35.9516650196             33.4865219073             31.0308680157             28.5865070070             23.7346138540             18.9268967958             14.1434574556              9.3518188640              4.5152818315              3.1330274414              1.8245121447              0.5897359415              0.0000000000             -0.5713011682             -1.1241675630             -1.6585991844              1.8734910459
100000              -41422.9218887358             -2.3697903880            -44.0723321208             45.9247700812             43.5823807240             41.2349258758             38.8877514224             36.5464577976             34.2167609074             31.9043038169             29.6144147930             27.3518113033             25.1202558815             22.9221785480             18.6272330352             14.4462596279             10.3201367510              6.1569968035              1.8524379604              1.2309867866              0.6832821609              0.2093240833              0.0000000000             -0.1908874462             -0.3633382554             -0.5173524276              1.8915957870
150000              -41931.2803737091             -4.0295680088            -45.6673701976             48.6816575509             46.2915265903             43.8944904735             41.4953957434             39.0992878936             36.7112894324             34.3364384428             31.9794843770             29.6446407745             27.3352992805             25.0537160400             20.5752640460             16.1932743344             11.8589778421              7.4953483924              3.0142873534              2.0608768014              1.1812147245              0.3753011227              0.0000000000             -0.3568640039             -0.6952908891             -1.0152806555              1.8588893163
200000              -41978.0026862384             -8.4917566324            -48.4569480024             54.5947606814             52.1350670496             49.6607719234             47.1760095427             44.6851502235             42.1927236619             39.7033113580             37.2214025756             34.7512093858             32.2964391083             29.8600275451             25.0483927407             20.3133175826             15.6235860021             10.9215358392              6.1378126790              4.2919695153              2.5198722702              0.8215209438              0.0000000000             -0.8030844641             -1.5877324486             -2.3539439534              1.8604855475
250000              -41629.0861885818             -4.6205137291            -46.8067241468             50.2346910539             47.9005959518             45.5515470384             43.1907881008             40.8216903096             38.4476801650             36.0721472130             33.6983312408             31.3291906573             28.9672564813             26.6144797440             21.9404371429             17.3061089866             12.6954902469              8.0803144179              3.4279669071              2.3563538400              1.3584959335              0.4343931877              0.0000000000             -0.4159543975             -0.8134700048             -1.1925468220              1.8766965984
300000              -41583.7720665629             -8.6783525964            -44.7386499132             51.0070624829             48.7700430986             46.5203427044             44.2611006671             41.9955125624             39.7267504865             37.4578686440             35.1916961274             32.9307205180             30.6769679250             28.4318871614             23.9700624328             19.5421259127             15.1327432194             10.7173259323              6.2684125697              4.3852633821              2.5758535286              0.8401830093              0.0000000000             -0.8217481758             -1.6250615180             -2.4099400267              1.8757529733
350000              -41284.9014886186            -10.2084456987            -47.9347457032             55.2742248087             52.9233546728             50.5559488113             48.1745339357             45.7816768637             43.3799339509             40.9717932374             38.5596107393             36.1455431903             33.7314805092             31.3189822502             26.5029536607             21.7016757958             16.9126278849             12.1282544553              7.3394791055              5.1503102580              3.0348812644              0.9931921247              0.0000000000             -0.9747571612             -1.9310793589             -2.8689665932              1.8892240223
400000              -41636.5550456212            -10.6146975694            -47.9739561637             55.5978192095             53.1447685905             50.6800320418             48.2080593206             45.7334540404             43.2608612508             40.7948237341             38.3396062487             35.8989898456             33.4760424967             31.0728775452             26.3281877500             21.6547295549             17.0175797589             12.3614872543              7.6238630459              5.3534380103              3.1567557355              1.0338162216              0.0000000000             -1.0153805314             -2.0123253726             -2.9908345235              1.8934466518
450000              -41847.8466537535            -17.6334674294            -41.6774440421             54.2144342949             51.7841020349             49.3567395015             46.9399703372             44.5421008985             42.1720410963             39.8391594257             37.5530446030             35.3231384392             33.1581982469             31.0655464001             27.1130208624             23.4523545241             19.9693925872             16.4315722493             12.5369902528              8.8628201557              5.2623883642              1.7356948783              0.0000000000             -1.7172603019             -3.4160860275             -5.0964771766              1.8769658178
500000              -41646.6384980643            -15.6630771513            -42.2067741692             53.3645453903             50.8574860713             48.3458863056             45.8376893860             43.3420091913             40.8691958892             38.4308410049             36.0396743187             33.7092840612             31.4535687018             29.2858097215             25.2551249235             21.6435108856             18.3290744076             14.9874996090             11.1577712211              7.8776379126              4.6712635432              1.5386481130             -0.0000000000             -1.5202083782             -3.0219770216             -4.5053059302              1.8829781659
